generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-1.15,0.6534657,0,0,0.41446525,3.153794,0.00049999985,1.0,0.0,20.723263,0.042707525
5,-0.980208333333333,0.6874011,0,0,0.4144653,3.118372,0.00049999903,0.5833333333333334,0.25,20.723267,0.9920921
10,-0.9189772727272719,0.65556353,0,0,0.41446507,2.9539618,0.00049999816,0.6363636363636364,0.25,20.723253,0.99755824
15,-0.9468999999999993,0.54904485,0,0,0.41446516,2.6430092,0.00049999735,0.66,0.32,20.723259,0.99952036
20,-1.028399999999999,0.45821515,0,0,0.41445816,2.0519042,0.00049999653,0.72,0.26,20.722908,0.9996892
25,-1.109699999999999,0.12705308,0,0,0.4140116,1.1216009,0.00049999566,0.62,0.18,20.70058,0.99973
30,-0.9869999999999993,0.074264094,0,0,0.34652472,1.3810587,0.00049999484,0.76,0.24,17.326237,0.99983066
35,-0.9058999999999992,0.017433051,0,0,0.39363158,1.2073817,0.000499994,0.72,0.32,19.68158,0.99977314
40,-0.8245999999999993,0.0453272,0,0,0.39241898,1.5767977,0.00049999316,0.62,0.34,19.620949,0.99934053
45,-0.7850999999999995,0.097696714,0,0,0.37914294,1.18482,0.00049999234,0.5,0.36,18.957148,0.9996748
50,-0.7825999999999993,0.021340188,0,0,0.40127623,1.1678822,0.0004999915,0.54,0.36,20.063812,0.9997121
55,-0.9438999999999993,0.021285612,0,0,0.3167129,1.4159919,0.00049999065,0.5,0.34,15.835645,0.9989087
60,-0.9040999999999993,0.26768437,0,0,0.2997803,1.4111028,0.00049998984,0.54,0.26,14.989017,0.9980509
65,-0.9872999999999992,0.24956317,0,0,0.3219839,1.5465916,0.000499989,0.64,0.3,16.099195,0.9984683
70,-0.9871999999999992,0.18348834,0,0,0.23491536,0.82445407,0.00049998815,0.64,0.32,11.745769,0.99485576
75,-0.9879999999999992,0.034152545,0,0,0.25194633,1.4249319,0.00049998733,0.64,0.36,12.597317,0.99244404
80,-0.8250999999999992,0.15153462,0,0,0.278804,1.4166496,0.0004999865,0.64,0.34,13.9402,0.99568033
85,-0.7836999999999995,0.18238248,0,0,0.22660154,0.9641642,0.00049998565,0.7,0.42,11.330077,0.985705
90,-0.7817999999999995,0.17420006,0,0,0.1653963,1.8771775,0.00049998483,0.74,0.36,8.269815,0.977749
95,-0.7819999999999996,0.44737816,0,0,0.20764011,1.9176643,0.000499984,0.68,0.4,10.382006,0.9866873
100,-0.9037999999999993,0.31118044,0,0,0.26295123,1.9090958,0.00049998314,0.56,0.26,13.147561,0.988463
105,-0.9008999999999991,0.5122077,0,0,0.21090537,1.9142385,0.0004999823,0.58,0.3,10.545269,0.9770806
110,-0.8590999999999994,0.24221306,0,0,0.26615468,1.4085755,0.0004999815,0.6,0.34,13.307734,0.9929352
115,-0.9448999999999991,0.723919,0,0,0.23276359,1.6879573,0.00049998064,0.62,0.38,11.63818,0.9872855
120,-0.7803999999999995,0.45352986,0,0,0.19894247,1.2920572,0.0004999798,0.58,0.4,9.947124,0.98125255
125,-0.8216999999999993,0.12586752,0,0,0.21954142,0.97738755,0.000499979,0.58,0.3,10.977071,0.9833019
130,-0.8209999999999995,0.3588748,0,0,0.20965286,0.9263056,0.00049997814,0.56,0.24,10.482643,0.9901193
135,-0.7788999999999995,0.19002464,0,0,0.22759742,1.4990253,0.0004999773,0.54,0.26,11.379871,0.99160427
140,-0.7361999999999993,0.13025697,0,0,0.28134015,1.3549392,0.0004999765,0.5,0.24,14.067008,0.9941572
145,-0.9012999999999994,0.22898108,0,0,0.20895454,1.0658119,0.00049997563,0.6,0.2,10.447727,0.9907389
150,-1.0673999999999992,0.16964106,0,0,0.23094487,0.65480715,0.0004999748,0.6,0.24,11.547244,0.995793
155,-1.0275999999999992,0.043783672,0,0,0.18159993,0.86687666,0.000499974,0.54,0.26,9.079997,0.9801128
160,-0.8596999999999992,0.047198575,0,0,0.24735378,0.9501007,0.00049997313,0.5,0.24,12.367689,0.985153
165,-0.8177999999999993,0.018296124,0,0,0.19702375,1.4191912,0.0004999723,0.42,0.2,9.851188,0.98084533
170,-0.9008999999999994,0.037063297,0,0,0.22367916,0.8761945,0.0004999715,0.58,0.22,11.183958,0.98942673
175,-0.9047999999999995,0.18307634,0,0,0.22977594,1.2458091,0.0004999706,0.74,0.36,11.488797,0.98585415
180,-0.9453999999999992,0.0572112,0,0,0.23155124,0.7613793,0.0004999698,0.74,0.36,11.577562,0.9844474
185,-0.8216999999999994,0.26777214,0,0,0.20043236,0.82602865,0.00049996894,0.48,0.3,10.021618,0.9862148
190,-0.6964999999999997,0.65929306,0,0,0.23696125,2.296389,0.0004999681,0.36,0.22,11.8480625,0.9803287
195,-0.7375999999999994,0.2643437,0,0,0.26148793,1.53553,0.0004999673,0.32,0.22,13.074397,0.985152
200,-0.8604999999999994,0.5745455,0,0,0.24707696,1.5496204,0.00049996644,0.5,0.34,12.353848,0.9853908
205,-0.9446999999999993,0.5481497,0,0,0.27907977,1.1887128,0.0004999656,0.64,0.32,13.953988,0.9822643
210,-0.9839999999999992,0.741848,0,0,0.17281552,1.7388589,0.0004999648,0.68,0.36,8.640776,0.97646356
215,-1.0249999999999992,0.17378838,0,0,0.23887785,0.9679462,0.00049996393,0.54,0.26,11.9438925,0.99178374
220,-1.0673999999999992,0.45768777,0,0,0.16518001,1.3142377,0.0004999631,0.36,0.14,8.259001,0.97597
225,-1.109299999999999,0.04850372,0,0,0.19363683,0.5269649,0.0004999623,0.4,0.12,9.681842,0.98462194
230,-1.107999999999999,0.25370327,0,0,0.23470922,0.7898896,0.00049996143,0.46,0.14,11.735461,0.9756974
235,-1.026599999999999,0.2511954,0,0,0.19529335,0.9493367,0.0004999606,0.48,0.16,9.7646675,0.984274
240,-0.9451999999999993,0.27741143,0,0,0.20495743,1.3663387,0.0004999598,0.52,0.24,10.247871,0.9905493
245,-0.9872999999999993,0.05010539,0,0,0.24144925,0.4690546,0.00049995893,0.42,0.24,12.072463,0.98408043
250,-1.109499999999999,0.077954225,0,0,0.18881214,0.5970609,0.0004999581,0.42,0.2,9.440607,0.9821375
255,-0.9853999999999992,0.038465515,0,0,0.26712984,0.5710013,0.0004999573,0.48,0.28,13.356492,0.98449004
260,-0.9043999999999991,0.033832602,0,0,0.24456342,0.69827324,0.0004999564,0.48,0.28,12.228171,0.98087335
265,-0.9864999999999992,0.16929929,0,0,0.22196867,0.9806207,0.0004999556,0.44,0.24,11.0984335,0.98957324
270,-1.028299999999999,0.274442,0,0,0.25104827,0.8477877,0.0004999548,0.34,0.14,12.552414,0.9889515
275,-1.1094999999999993,0.034503866,0,0,0.21098012,0.82156444,0.0004999539,0.36,0.14,10.549006,0.98972565
280,-1.109399999999999,0.31774074,0,0,0.17912918,0.6261625,0.0004999531,0.4,0.18,8.956459,0.9878653
285,-1.0683999999999991,0.17844632,0,0,0.19778568,0.47363514,0.0004999523,0.4,0.12,9.889284,0.9878229
290,-1.108999999999999,0.03967082,0,0,0.25734147,0.6045625,0.0004999514,0.38,0.1,12.867074,0.98522425
295,-1.109499999999999,0.030931793,0,0,0.20354809,0.4831214,0.0004999506,0.42,0.1,10.177404,0.9849209
300,-1.069399999999999,0.53849095,0,0,0.18691066,1.9758384,0.0004999498,0.52,0.1,9.345533,0.9763397
305,-1.069299999999999,0.74969256,0,0,0.11658182,2.3140535,0.0004999489,0.46,0.14,5.829091,0.99018496
310,-1.0692999999999993,0.1133076,0,0,0.1863992,0.8427049,0.0004999481,0.46,0.18,9.319961,0.99432266
315,-1.0255999999999992,0.38446757,0,0,0.16503769,0.897593,0.0004999473,0.6,0.24,8.251884,0.99619323
320,-1.0661999999999991,0.2231448,0,0,0.17924757,0.7961089,0.0004999464,0.54,0.2,8.9623785,0.9967823
325,-1.0245999999999993,0.025051707,0,0,0.20604992,0.6100836,0.0004999456,0.44,0.14,10.302496,0.99678445
330,-1.108399999999999,0.48677132,0,0,0.17253171,1.4861238,0.0004999448,0.36,0.14,8.626586,0.99825716
335,-1.109299999999999,0.014702038,0,0,0.20804903,0.7307074,0.0004999439,0.18,0.02,10.4024515,0.9974755
340,-1.0286999999999993,0.018729985,0,0,0.21916492,0.38626134,0.0004999431,0.22,0.08,10.958246,0.99711096
345,-0.9468999999999993,0.12869595,0,0,0.25661263,0.59509385,0.0004999423,0.36,0.2,12.830632,0.99916947
350,-0.8629999999999994,0.11786191,0,0,0.20815831,1.0101429,0.0004999414,0.42,0.24,10.407916,0.996653
355,-0.8621999999999994,0.17077997,0,0,0.21541835,0.88418925,0.0004999406,0.34,0.16,10.770918,0.9986947
360,-0.9449999999999993,0.2334799,0,0,0.23824905,1.5347126,0.0004999398,0.26,0.1,11.912453,0.99671626
365,-0.9440999999999993,0.027026514,0,0,0.196729,1.3715222,0.00049993896,0.22,0.14,9.836451,0.99741554
370,-0.9426999999999994,0.056755614,0,0,0.18879195,0.78037876,0.00049993815,0.28,0.18,9.439597,0.99659216
375,-0.8605999999999994,0.3028883,0,0,0.19460408,1.1397694,0.0004999373,0.3,0.14,9.730205,0.9961797
380,-0.8194999999999995,0.66632175,0,0,0.19566809,1.7693852,0.00049993646,0.4,0.16,9.783404,0.9979256
385,-1.067599999999999,0.22349231,0,0,0.21366996,0.73941797,0.00049993565,0.48,0.1,10.683498,0.9980932
390,-0.9851999999999993,0.08401273,0,0,0.16252026,0.41330695,0.0004999348,0.44,0.08,8.126013,0.99521303
395,-0.9419999999999993,0.09586727,0,0,0.18903106,0.63265145,0.00049993396,0.3,0.04,9.451553,0.9976573
400,-0.9422999999999994,0.348336,0,0,0.17444783,1.1903248,0.00049993314,0.16,0.06,8.722392,0.997105
405,-0.8984999999999992,0.022774491,0,0,0.22406892,0.5509195,0.00049993227,0.14,0.06,11.203446,0.99832845
410,-0.8993999999999994,0.024426358,0,0,0.25093305,0.7877003,0.00049993146,0.26,0.12,12.546653,0.9992329
415,-1.0265999999999993,0.091628075,0,0,0.21932459,0.72919047,0.00049993064,0.4,0.16,10.966229,0.99729586
420,-0.9411999999999991,0.022634339,0,0,0.23002581,0.6493379,0.00049992977,0.46,0.22,11.501291,0.9954829
425,-0.7748999999999994,0.27409345,0,0,0.20922853,1.2891958,0.00049992895,0.34,0.12,10.461427,0.9970301
430,-0.6899999999999996,0.2936395,0,0,0.23612235,1.2329652,0.00049992814,0.18,0.08,11.806118,0.99884015
435,-0.6462999999999995,0.17744242,0,0,0.15972564,0.718573,0.00049992726,0.14,0.1,7.9862823,0.9963324
440,-0.6459999999999998,0.38058716,0,0,0.20023687,1.4088398,0.00049992645,0.42,0.24,10.011844,0.99689835
445,-0.6919999999999995,0.19278021,0,0,0.20177625,0.78396636,0.00049992563,0.62,0.28,10.088813,0.9978241
450,-0.7765999999999993,0.3496894,0,0,0.23846267,1.3905735,0.00049992476,0.68,0.34,11.923134,0.99925876
455,-0.5641999999999997,0.26108596,0,0,0.17547439,1.4514688,0.00049992395,0.4,0.2,8.77372,0.9955031
460,-0.5225999999999998,0.39929014,0,0,0.2174347,1.6143694,0.00049992313,0.18,0.12,10.871736,0.99446934
465,-0.23309999999999984,0.2684862,0,0,0.1730053,1.474359,0.00049992226,0.04,0.0,8.650265,0.991153
470,0.102,0.110430755,0,0,0.17530656,1.329762,0.00049992144,0.0,0.0,8.765328,0.99582887
475,0.23349999999999993,0.39099458,0,0,0.20089939,1.7242455,0.0004999206,0.0,0.0,10.04497,0.99712116
480,0.2374999999999999,0.51971734,0,0,0.20052017,2.216749,0.00049991976,0.02,0.04,10.026009,0.995489
485,0.11189999999999994,0.37723047,0,0,0.23754133,1.6776832,0.00049991894,0.02,0.04,11.877067,0.9980093
490,0.2793999999999999,0.47390664,0,0,0.25254834,1.8359814,0.0004999181,0.02,0.0,12.627417,0.9980688
495,0.4942,0.52966344,0,0,0.21743461,2.7802598,0.00049991725,0.0,0.0,10.871731,0.99508774
500,0.9157000000000002,0.46072355,0,0,0.19955055,2.3098729,0.00049991644,0.0,0.02,9.977528,0.9941481
505,0.7039000000000003,0.37048674,0,0,0.1900478,2.144317,0.0004999156,0.0,0.12,9.50239,0.9917669
510,0.06570000000000001,0.3716841,0,0,0.26366064,1.638393,0.00049991475,0.06,0.26,13.183032,0.99803996
515,-0.09980000000000007,0.47778454,0,0,0.27944306,2.300509,0.00049991393,0.08,0.24,13.972154,0.99804294
520,0.4063999999999999,0.55875164,0,0,0.28414333,2.25279,0.00049991306,0.04,0.12,14.207167,0.9947138
525,0.9604000000000004,0.51294476,0,0,0.3030283,2.2542238,0.00049991225,0.0,0.06,15.151415,0.99572897
530,0.9612000000000003,0.39321667,0,0,0.23150554,2.1111348,0.00049991143,0.0,0.06,11.575277,0.99112356
535,0.9189000000000004,0.4808242,0,0,0.23302586,2.2234712,0.00049991056,0.0,0.06,11.651294,0.99426115
540,0.9180000000000003,0.4167815,0,0,0.27124822,1.8569275,0.00049990974,0.0,0.14,13.562411,0.9953606
545,0.9167000000000002,0.28363907,0,0,0.1947673,1.9744444,0.0004999089,0.0,0.12,9.738365,0.98343194
550,0.9603000000000005,0.24292764,0,0,0.22164996,1.3515699,0.00049990806,0.0,0.06,11.082499,0.9809391
555,0.9613000000000007,0.24259453,0,0,0.22080964,1.7496743,0.00049990724,0.0,0.02,11.0404825,0.99293685
560,0.9592000000000005,0.30653274,0,0,0.19391817,1.5442379,0.0004999064,0.02,0.04,9.695909,0.9776652
565,0.9166000000000005,0.52107906,0,0,0.2024769,1.7284526,0.00049990555,0.08,0.12,10.123845,0.9803016
570,0.9162000000000005,0.636262,0,0,0.16710454,1.8912048,0.00049990474,0.18,0.28,8.355227,0.9454563
575,0.9186000000000004,0.24410208,0,0,0.20571008,0.9677185,0.0004999039,0.34,0.46,10.285504,0.9479102
580,0.9598000000000007,0.14841646,0,0,0.2217478,1.0016975,0.00049990305,0.32,0.4,11.08739,0.9541873
585,0.8331000000000003,0.06917198,0,0,0.1853118,1.0878687,0.00049990223,0.12,0.14,9.26559,0.9529129
590,0.8355000000000002,0.37453836,0,0,0.16926625,1.2700806,0.0004999014,0.04,0.02,8.463313,0.934045
595,0.8765000000000004,0.060862947,0,0,0.1982243,0.7720175,0.00049990055,0.2,0.18,9.911216,0.9205524
