generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-1.15,0.68648493,0,0,0.41446528,3.035918,0.00049999985,0.75,0.25,20.723265,0.09058159
5,-0.9814583333333332,0.70096534,0,0,0.4144653,3.128954,0.00049999903,0.75,0.25,20.723267,0.99780285
10,-0.9660227272727266,0.56579375,0,0,0.41446525,2.969435,0.00049999816,0.6363636363636364,0.29545454545454547,20.723263,0.99685097
15,-0.9461999999999992,0.4632959,0,0,0.41446525,2.5808759,0.00049999735,0.54,0.3,20.723263,0.99986744
20,-1.0270999999999992,0.40360495,0,0,0.41446182,2.1752546,0.00049999653,0.44,0.2,20.723091,0.9997046
25,-1.0276999999999992,0.4030618,0,0,0.41437998,1.6482221,0.00049999566,0.46,0.16,20.719,0.99990225
30,-0.9850999999999993,0.35923767,0,0,0.37725163,1.503296,0.00049999484,0.62,0.3,18.862581,0.99994934
35,-0.8200999999999992,0.069386706,0,0,0.3868137,1.0506872,0.000499994,0.78,0.44,19.340685,0.99978244
40,-0.8214999999999993,0.050180163,0,0,0.41257608,0.96778697,0.00049999316,0.78,0.48,20.628805,0.99989414
45,-0.9444999999999992,0.32956973,0,0,0.35378054,1.0141842,0.00049999234,0.6,0.36,17.689028,0.99966955
50,-0.8633999999999992,0.23213653,0,0,0.329485,0.6458303,0.0004999915,0.58,0.36,16.47425,0.9991504
55,-0.7420999999999995,0.3080435,0,0,0.3595934,1.3345505,0.00049999065,0.56,0.32,17.97967,0.99955726
60,-0.7843999999999994,0.29435125,0,0,0.35104546,1.1284597,0.00049998984,0.6,0.34,17.552273,0.99892807
65,-0.9038999999999995,0.2305674,0,0,0.3323709,1.2500128,0.000499989,0.58,0.28,16.618546,0.99653906
70,-0.9452999999999991,0.27966598,0,0,0.29788995,1.2596912,0.00049998815,0.68,0.4,14.894498,0.9975978
75,-0.8213999999999995,0.21366422,0,0,0.30534205,1.2480751,0.00049998733,0.72,0.48,15.267102,0.99870205
80,-0.8219999999999993,0.5649,0,0,0.29947367,1.8115046,0.0004999865,0.66,0.44,14.973683,0.995252
85,-0.7413999999999994,0.40039128,0,0,0.25297642,1.0723467,0.00049998565,0.52,0.3,12.648822,0.9924064
