generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-0.6437499999999999,0.71153015,0,0,0.20723261,2.8842192,0.00049999985,0.5,0.5,20.72326,0.19300607
5,-0.8935416666666666,0.5846736,0,0,0.20723258,2.6749048,0.00049999903,0.4583333333333333,0.20833333333333334,20.723259,0.9774468
10,-0.9635227272727267,0.66310406,0,0,0.20723264,2.7804592,0.00049999816,0.6363636363636364,0.29545454545454547,20.723265,0.99536395
15,-1.0274999999999992,0.56892145,0,0,0.20723264,2.498418,0.00049999735,0.8,0.3,20.723265,0.9994111
20,-0.9449999999999992,0.44511095,0,0,0.20723264,2.0836668,0.00049999653,0.72,0.26,20.723265,0.99986506
25,-0.9465999999999992,0.24170111,0,0,0.20723158,1.2076149,0.00049999566,0.56,0.12,20.723158,0.9999665
30,-0.9450999999999994,0.04312796,0,0,0.20637617,1.5466049,0.00049999484,0.68,0.16,20.637617,0.9999697
35,-0.9036999999999992,0.18305722,0,0,0.20723026,1.2327372,0.000499994,0.68,0.22,20.723026,0.9999578
40,-0.9038999999999993,0.31779698,0,0,0.20723265,1.3729308,0.00049999316,0.68,0.26,20.723267,0.99998134
45,-0.9036999999999993,0.3617406,0,0,0.20718896,1.6476462,0.00049999234,0.54,0.28,20.718897,0.99996066
50,-1.0264999999999993,0.039466903,0,0,0.20698166,1.2430407,0.0004999915,0.48,0.22,20.698166,0.99997735
55,-1.108299999999999,0.54542154,0,0,0.20707639,1.6584727,0.00049999065,0.5,0.22,20.70764,0.9999883
60,-0.9868999999999992,0.23201218,0,0,0.20713586,0.6814815,0.00049998984,0.66,0.28,20.713587,0.999977
65,-0.9064999999999992,0.3442715,0,0,0.20721859,1.4248621,0.000499989,0.74,0.3,20.721859,0.9999905
70,-0.8660999999999993,0.26177555,0,0,0.207229,0.7725173,0.00049998815,0.88,0.46,20.7229,0.9999853
75,-0.9055999999999993,0.13641255,0,0,0.20723009,0.7532485,0.00049998733,0.86,0.52,20.72301,0.9999807
80,-0.9439999999999994,0.12571555,0,0,0.20722927,1.2549652,0.0004999865,0.86,0.5,20.722927,0.9999794
85,-0.9448999999999992,0.19612123,0,0,0.20721586,1.145992,0.00049998565,0.82,0.42,20.721586,0.99997
90,-0.8638999999999994,0.19376403,0,0,0.20718004,1.1848513,0.00049998483,0.82,0.42,20.718004,0.9999584
95,-0.9059999999999993,0.25710174,0,0,0.20722215,1.2981367,0.000499984,0.62,0.34,20.722216,0.9999121
100,-0.7836999999999992,0.13053836,0,0,0.20718257,1.0957144,0.00049998314,0.4,0.24,20.718258,0.99997735
105,-0.8238999999999993,0.30759156,0,0,0.20721295,1.4034772,0.0004999823,0.22,0.1,20.721296,0.9999815
110,-0.7027999999999995,0.47113642,0,0,0.20693949,1.7850496,0.0004999815,0.32,0.18,20.693949,0.99997556
115,-0.7410999999999995,0.19777173,0,0,0.20718974,1.0201021,0.00049998064,0.34,0.18,20.718975,0.9998839
120,-0.7411999999999996,0.07391118,0,0,0.20722888,0.9455429,0.0004999798,0.38,0.24,20.722889,0.99992555
125,-0.7826999999999995,0.31328866,0,0,0.20722948,1.5325869,0.000499979,0.42,0.28,20.722948,0.99996614
130,-0.7001999999999994,0.64225304,0,0,0.20723072,1.420069,0.00049997814,0.58,0.52,20.723072,0.99991745
135,-0.6578999999999996,0.21682835,0,0,0.20708625,1.5280954,0.0004999773,0.76,0.62,20.708626,0.99982095
140,-0.8224999999999995,0.45444354,0,0,0.20667993,1.4556072,0.0004999765,0.92,0.64,20.667994,0.9999387
145,-0.9859999999999992,0.23457989,0,0,0.20716946,1.8994527,0.00049997563,0.98,0.6,20.716946,0.99990255
150,-0.8608999999999993,0.5185245,0,0,0.20720325,1.4722257,0.0004999748,0.92,0.66,20.720325,0.9999654
155,-0.5357999999999996,0.27561522,0,0,0.20718086,1.1065143,0.000499974,0.82,0.56,20.718086,0.99995756
160,-0.29040000000000016,0.8656209,0,0,0.20704283,2.4754207,0.00049997313,0.64,0.42,20.704283,0.9998795
165,-0.4955999999999998,0.37418744,0,0,0.20722789,2.1761842,0.0004999723,0.5,0.3,20.72279,0.9998519
170,-0.7796999999999993,0.64547706,0,0,0.20691648,2.166307,0.0004999715,0.3,0.12,20.691648,0.9998396
175,-0.9856999999999992,0.49725246,0,0,0.20709814,1.3568105,0.0004999706,0.26,0.1,20.709814,0.9997437
180,-1.024699999999999,0.17435877,0,0,0.2061819,1.4755211,0.0004999698,0.24,0.12,20.61819,0.9999124
185,-0.8223999999999992,0.27047834,0,0,0.20675468,1.6021165,0.00049996894,0.24,0.2,20.675468,0.99984324
190,-0.6172999999999995,0.37993768,0,0,0.20686144,1.4608846,0.0004999681,0.52,0.4,20.686144,0.9997619
195,-0.6556999999999996,0.08073203,0,0,0.20581703,1.165203,0.0004999673,0.78,0.58,20.581703,0.99986327
200,-0.9013999999999993,0.09471841,0,0,0.20639642,1.0329251,0.00049996644,0.92,0.72,20.639643,0.9998641
205,-0.8208999999999995,0.15217726,0,0,0.20621093,1.567096,0.0004999656,0.94,0.72,20.621094,0.9998559
