generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-0.11,0.24777336,0.0027251723,-0.13528334,0.0,0.85491323,2.4999968e-05,0.0,0.0,0.0,0.0
5,-0.4266666666666667,0.16376019,0.0027295647,-0.13518576,0.0,0.91892564,2.4999812e-05,0.0,0.16666666666666666,0.0,0.0
10,-0.44636363636363635,0.22454622,0.010537145,-0.13716726,0.0,0.91031253,2.4999656e-05,0.0,0.09090909090909091,0.0,0.0
15,-0.346875,0.12251659,0.0022007027,-0.1380698,0.0,0.7735475,2.49995e-05,0.0,0.125,0.0,0.0
20,-0.3523809523809524,0.10368027,0.010215708,-0.13786864,0.0,0.9500727,2.4999343e-05,0.0,0.19047619047619047,0.0,0.0
25,-0.3596153846153846,0.25193277,0.009467613,-0.1378309,0.0,1.0909144,2.4999186e-05,0.0,0.15384615384615385,0.0,0.0
30,-0.32258064516129026,0.14419916,0.033605043,-0.13832138,0.0,0.92910707,2.499903e-05,0.0,0.12903225806451613,0.0,0.0
35,-0.3124999999999999,-0.14697032,0.02513164,-0.13589452,0.0,0.5549849,2.4998873e-05,0.0,0.1111111111111111,0.0,0.0
40,-0.30487804878048774,0.002911538,0.00076192536,-0.13808827,0.0,0.67152005,2.4998717e-05,0.0,0.0975609756097561,0.0,0.0
45,-0.28804347826086946,0.17522085,0.031096019,-0.13736103,0.0,0.968356,2.499856e-05,0.0,0.08695652173913043,0.0,0.0
50,-0.2817999999999999,-0.0801118,0.007930452,-0.13771604,0.0,0.7476615,2.4998404e-05,0.0,0.1,0.0,0.0
55,-0.2637999999999999,0.2559107,0.018555503,-0.13693619,0.0,0.9096533,2.4998248e-05,0.0,0.1,0.0,0.0
60,-0.23179999999999992,0.19908771,0.0009920254,-0.13713215,0.0,0.80391407,2.4998091e-05,0.0,0.1,0.0,0.0
65,-0.244,0.16726148,0.015462736,-0.13646576,0.0,0.9621842,2.4997935e-05,0.0,0.1,0.0,0.0
70,-0.24799999999999997,0.10915449,0.0176604,-0.13783994,0.0,0.7369431,2.4997778e-05,0.0,0.06,0.0,0.0
75,-0.24200000000000002,0.18815084,0.0019998509,-0.13731651,0.0,0.80193436,2.4997622e-05,0.0,0.06,0.0,0.0
80,-0.27,0.19394824,0.0019829562,-0.13807164,0.0,0.7934508,2.4997466e-05,0.0,0.06,0.0,0.0
85,-0.268,0.14561045,0.0008714336,-0.13704567,0.0,0.8689172,2.4997309e-05,0.02,0.08,0.0,0.0
90,-0.256,0.10692572,0.051458143,-0.13049822,0.0,0.78950197,2.4997153e-05,0.04,0.12,0.0,0.0
