generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-1.15,0.6987765,0.18238191,-0.13862935,11.999983,19.184423,4.9999875e-05,0.25,0.25,-6.1564217,79.999886
5,-0.9804166666666664,0.71661687,0.18256858,-0.1386284,11.99999,19.100845,4.999925e-05,0.20833333333333334,0.20833333333333334,-4.947124,79.99993
10,-0.8721590909090904,0.642197,0.12653156,-0.13862915,11.999966,16.910635,4.9998624e-05,0.22727272727272727,0.25,-6.5759954,79.99977
15,-0.9467999999999992,0.67819375,0.14112186,-0.13862735,11.999983,18.926521,4.9997994e-05,0.2,0.22,-6.565923,79.999886
20,-0.9873999999999993,0.6869829,0.12678638,-0.13862717,11.999986,18.786955,4.999737e-05,0.18,0.2,-6.466091,79.9999
25,-1.027799999999999,0.69329035,0.108770214,-0.13862827,11.999985,18.573425,4.9996743e-05,0.12,0.14,-5.2543774,79.99989
30,-0.9869999999999992,0.6865397,0.0679505,-0.13862641,11.999994,18.166689,4.9996117e-05,0.1,0.1,-4.5910325,79.99996
35,-1.109199999999999,0.7208542,0.020138059,-0.13862455,11.999976,17.691072,4.999549e-05,0.08,0.06,-6.6215587,79.99984
40,-1.068599999999999,0.67472476,0.022381876,-0.1386246,11.999935,17.709843,4.9994866e-05,0.14,0.12,-3.0082822,79.999565
45,-1.109399999999999,0.6670748,0.017132072,-0.13862586,11.999974,17.664345,4.999424e-05,0.1,0.1,-6.1185894,79.999825
50,-1.109899999999999,0.7174456,0.032465093,-0.13862453,11.999935,17.735407,4.9993614e-05,0.06,0.04,-7.193241,79.999565
55,-1.028599999999999,0.77562106,0.051679056,-0.138619,11.999933,17.792824,4.999299e-05,0.16,0.14,-6.7493176,79.99955
60,-0.9867999999999992,0.71847963,0.026230607,-0.13861065,11.99994,17.770449,4.9992363e-05,0.2,0.18,-6.8221684,79.999596
65,-0.9044999999999993,0.734204,0.048245143,-0.13859601,11.999803,16.424572,4.9991737e-05,0.22,0.22,-6.5870914,79.99868
70,-0.8630999999999993,0.716892,0.062526435,-0.13849333,11.999552,16.462902,4.999111e-05,0.18,0.18,-6.263074,79.99701
75,-0.9051999999999992,0.71970475,0.036523048,-0.13836525,11.99955,17.816359,4.9990485e-05,0.22,0.18,-6.940796,79.996994
80,-0.9874999999999993,0.73085374,0.017379357,-0.13843375,11.999374,17.681498,4.998986e-05,0.22,0.18,-7.169402,79.99583
85,-1.0691999999999993,0.66859484,0.015233373,-0.13848934,11.999221,17.666992,4.9989234e-05,0.2,0.18,-7.7215014,79.994804
90,-0.9855999999999994,0.650795,0.027936263,-0.13848731,11.999886,17.822636,4.998861e-05,0.22,0.16,-6.5965714,79.99924
95,-0.9855999999999991,0.64453626,0.022156855,-0.13840768,11.999862,17.7319,4.9987982e-05,0.18,0.14,-5.6867995,79.99908
100,-0.9459999999999993,0.750749,0.024306452,-0.1384209,11.9988575,17.717354,4.998736e-05,0.18,0.2,-6.845521,79.99238
105,-0.8637999999999992,0.7050876,0.035282027,-0.13818328,11.985717,16.302021,4.9986735e-05,0.2,0.18,-6.8904743,79.90478
110,-0.8626999999999992,0.74953896,0.061950613,-0.13549082,11.960304,16.246782,4.998611e-05,0.26,0.22,-7.6130743,79.73536
115,-0.6493999999999994,0.76592594,0.054442033,-0.09684678,11.960065,14.398459,4.9985483e-05,0.3,0.18,-7.028488,79.733765
120,-0.10360000000000005,-0.9276782,0.578929,-0.07164257,11.99783,13.423786,4.9984857e-05,0.48,0.2,-8.211883,79.985535
125,0.1918,0.6695828,0.14638731,-0.06253777,11.987762,13.213775,4.998423e-05,0.52,0.24,-6.5562367,79.91841
130,0.23440000000000005,0.5533329,0.10153277,-0.0602318,11.999416,11.4261465,4.9983606e-05,0.4,0.34,-5.073857,79.99611
135,0.10449999999999995,-0.6023623,0.30168036,-0.0478395,11.984143,11.312001,4.998298e-05,0.32,0.4,-5.7422485,79.89429
140,0.012400000000000043,-0.6346505,0.21732487,-0.04571172,11.992129,10.399992,4.9982355e-05,0.2,0.52,-7.2260585,79.947525
145,0.21840000000000007,0.60260355,0.16810578,-0.04811686,11.990364,10.36896,4.9981725e-05,0.14,0.7,-6.9333477,79.93576
150,0.1771999999999999,-0.70555264,0.2795646,-0.044929434,11.994146,15.805805,4.99811e-05,0.08,0.7,-7.4800797,79.960976
155,0.21289999999999995,-0.64623016,0.21622585,-0.04581868,11.964751,10.09469,4.9980474e-05,0.06,0.68,-5.0220146,79.76501
160,0.04800000000000002,0.5915325,0.20422472,-0.05901993,11.940696,15.711643,4.9979848e-05,0.06,0.58,-8.521959,79.60464
165,0.05080000000000004,-0.55130607,0.1829986,-0.0565762,11.958589,13.120888,4.9979222e-05,0.1,0.56,-8.201327,79.72392
170,0.1404,-0.6802916,0.24456029,-0.047785815,11.956753,10.637479,4.99786e-05,0.18,0.56,-7.772896,79.711685
175,0.1837,-0.48991716,0.13673599,-0.04287548,11.962942,7.6854315,4.9977974e-05,0.16,0.6,-8.225566,79.752945
180,0.09420000000000005,-0.520774,0.1448042,-0.05072376,11.977831,10.440012,4.997735e-05,0.08,0.62,-7.2659082,79.8522
185,0.17289999999999994,-0.5779836,0.10190177,-0.039019134,11.982797,13.338846,4.9976723e-05,0.08,0.66,-7.2190037,79.88531
190,0.1235,-0.43853924,0.091761775,-0.030075563,11.990955,7.8128953,4.9976097e-05,0.02,0.68,-7.9775753,79.9397
195,-0.1641,0.63768053,0.33194473,-0.029345771,11.997038,15.942064,4.997547e-05,0.02,0.7,-7.6918554,79.98025
200,-0.3718000000000001,-0.39617187,0.06228777,-0.03670405,11.993908,15.433197,4.9974846e-05,0.02,0.62,-7.3749833,79.95938
205,-0.3299000000000001,-0.8551886,0.28673273,-0.050445896,11.992063,12.439513,4.997422e-05,0.04,0.58,-6.270892,79.94708
210,-0.12169999999999996,-0.7473262,0.3067372,-0.04801742,11.995951,9.72533,4.9973594e-05,0.02,0.58,-7.41805,79.973
215,0.0054000000000000515,-0.49619433,0.07566553,-0.0486242,11.991662,13.05312,4.997297e-05,0.04,0.62,-7.3288546,79.94441
220,0.34319999999999995,-0.6653185,0.13589865,-0.046558548,11.99497,8.740696,4.9972346e-05,0.12,0.7,-6.789626,79.96647
225,0.31109999999999993,-0.48827052,0.04621402,-0.044243697,11.994173,8.79357,4.997172e-05,0.16,0.68,-7.218854,79.96115
230,0.2680999999999999,0.6543592,0.030490052,-0.038548157,11.989682,9.779939,4.9971095e-05,0.12,0.62,-6.487613,79.93121
235,0.2616,0.6058122,0.08390619,-0.036192838,11.992687,12.819822,4.997047e-05,0.06,0.66,-7.7678156,79.95125
240,0.21269999999999992,-0.5429027,0.0522489,-0.026727477,11.997668,10.1212015,4.9969844e-05,0.04,0.78,-7.3925886,79.98445
245,0.1675,-0.51872176,0.011229353,-0.016376443,11.999209,7.4497867,4.9969214e-05,0.02,0.8,-7.8129344,79.99473
250,0.08379999999999999,0.56317294,0.41274503,-0.03321038,11.996319,16.798874,4.996859e-05,0.0,0.8,-7.4713497,79.97546
255,0.20559999999999998,-0.66172034,0.048889033,-0.018383726,11.9966,7.143648,4.9967963e-05,0.02,0.78,-7.4720507,79.97733
