generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,right_up,right_down,kl_diversity,cosine_actions
2460,0.8766000000000002,0.96344006,0,0,0.9031834,1.8666234,0.0004995895,1.0,0.98,1.2528584,0.9031834
2465,0.8343000000000004,0.6999444,0,0,0.67048347,1.3704278,0.0004995886,1.0,0.96,0.3937269,0.67048347
2470,0.7501000000000003,0.5602046,0,0,0.93234944,1.4925541,0.0004995878,1.0,0.96,1.3113824,0.93234944
2475,0.7071999999999999,1.3916022,0,0,0.9984009,2.3900032,0.000499587,1.0,0.96,4.143493,0.9984009
2480,0.6237999999999998,0.9689604,0,0,0.8495388,1.8184992,0.0004995861,1.0,0.94,0.5426137,0.8495388
2485,0.6662999999999998,0.6064552,0,0,0.97037673,1.5768319,0.0004995853,1.0,0.96,1.7545532,0.97037673
2490,0.6661,0.9796461,0,0,0.98470414,1.9643502,0.0004995845,1.0,0.96,1.8471619,0.98470414
2495,0.7078000000000002,0.7110485,0,0,0.99617696,1.7072254,0.0004995836,1.0,0.94,3.6315815,0.99617696
2500,0.7509000000000001,0.56621593,0,0,0.96846855,1.5346844,0.0004995828,1.0,0.94,1.251243,0.96846855
2505,0.8357000000000006,1.8452356,0,0,0.9936771,2.8389127,0.000499582,1.0,0.96,3.0928986,0.9936771
2510,0.7507,0.53890437,0,0,0.97576976,1.5146742,0.0004995811,1.0,0.92,1.9751358,0.97576976
2515,0.7505000000000002,1.0892892,0,0,0.9995883,2.0888774,0.0004995803,1.0,0.94,5.256781,0.9995883
2520,0.7507,0.96414256,0,0,0.99838567,1.9625282,0.0004995795,1.0,0.96,3.6880398,0.99838567
2525,0.7070000000000001,0.903919,0,0,0.991938,1.895857,0.0004995786,1.0,0.96,2.2982066,0.991938
2530,0.7497000000000003,0.5863291,0,0,0.96784514,1.5541742,0.0004995778,0.98,0.92,1.7008885,0.96784514
2535,0.8347000000000002,0.57965446,0,0,0.9998777,1.5795321,0.00049957697,0.98,0.92,5.449275,0.9998777
2540,0.8764000000000002,1.2686774,0,0,0.9917295,2.260407,0.0004995761,0.98,0.78,2.875279,0.9917295
2545,0.9185000000000005,1.5635647,0,0,0.999004,2.5625687,0.0004995753,0.98,0.72,4.428772,0.999004
2550,0.9612000000000003,0.6112708,0,0,0.9945264,1.6057972,0.00049957447,0.98,0.7,3.070221,0.9945264
2555,0.9604000000000005,0.55055946,0,0,0.98908097,1.5396404,0.0004995736,1.0,0.62,1.9481418,0.98908097
2560,0.9606000000000006,0.5862393,0,0,0.9982507,1.5844901,0.0004995728,1.0,0.52,4.6397076,0.9982507
2565,0.9618000000000008,0.5096707,0,0,0.95065355,1.4603243,0.00049957196,1.0,0.54,1.1183091,0.95065355
2570,0.9191000000000007,0.79800147,0,0,0.96790874,1.7659101,0.0004995711,1.0,0.4,1.428475,0.96790874
2575,0.8758000000000007,1.0692034,0,0,0.991225,2.0604284,0.0004995703,0.98,0.22,2.8489583,0.991225
2580,0.8764000000000007,0.48202538,0,0,0.9827219,1.4647473,0.00049956946,0.9,0.14,1.7255266,0.9827219
2585,0.8762000000000004,1.1823463,0,0,0.9741704,2.1565168,0.00049956865,0.86,0.08,1.6119086,0.9741704
2590,0.8754000000000005,0.2036046,0,0,0.99690425,1.2005088,0.0004995678,0.86,0.0,3.9429023,0.99690425
2595,0.9179000000000005,0.1376217,0,0,0.9911229,1.1287446,0.00049956696,0.84,0.0,2.2524145,0.9911229
2600,0.9618000000000007,0.27007037,0,0,0.96316874,1.2332392,0.00049956614,0.84,0.06,1.2670171,0.96316874
2605,0.9610000000000005,0.28117827,0,0,0.98374796,1.2649262,0.00049956527,0.92,0.1,1.7668005,0.98374796
2610,0.9616000000000008,0.5479839,0,0,0.99695385,1.5449377,0.00049956446,0.9,0.12,3.428146,0.99695385
2615,0.9618000000000007,0.18870935,0,0,0.9945692,1.1832786,0.00049956364,0.9,0.16,2.81902,0.9945692
2620,0.9624000000000007,0.25033832,0,0,0.9982792,1.2486175,0.00049956277,0.88,0.18,3.7584658,0.9982792
2625,0.8347000000000006,0.34408295,0,0,0.9919029,1.3359859,0.00049956195,0.9,0.14,2.2407238,0.9919029
2630,0.5811000000000002,0.9713254,0,0,0.9980345,1.9693599,0.00049956114,0.86,0.18,3.6843958,0.9980345
2635,0.3261000000000002,1.9670334,0,0,0.8616698,2.8287032,0.00049956026,0.9,0.32,0.74943894,0.8616698
2640,0.11499999999999982,0.9275308,0,0,0.988181,1.9157119,0.00049955945,0.9,0.46,2.4000447,0.988181
2645,-0.013499999999999979,0.9659347,0,0,0.9971051,1.9630399,0.00049955864,0.94,0.6,4.0003014,0.9971051
2650,-0.09710000000000012,2.8135526,0,0,0.8753612,3.6889138,0.00049955776,0.9,0.58,0.9871273,0.8753612
2655,0.07229999999999999,1.34722,0,0,0.9955586,2.3427787,0.00049955695,0.88,0.5,3.6271753,0.9955586
2660,0.2427,1.8945284,0,0,0.8206032,2.7151315,0.00049955613,0.74,0.34,0.70034176,0.8206032
2665,0.1580999999999999,2.1881564,0,0,0.9788896,3.167046,0.00049955526,0.66,0.16,3.1556678,0.9788896
2670,0.032999999999999925,1.623183,0,0,0.9813329,2.604516,0.00049955444,0.56,0.0,1.7783556,0.9813329
2675,-0.009300000000000084,1.2678334,0,0,0.7895839,2.0574174,0.00049955363,0.5,0.02,0.96435446,0.7895839
2680,-0.22100000000000006,1.5446064,0,0,0.6528568,2.1974633,0.00049955276,0.54,0.1,0.905967,0.6528568
2685,-0.43349999999999994,1.6433263,0,0,0.65001434,2.2933407,0.00049955194,0.66,0.12,1.0707273,0.65001434
2690,-0.26410000000000006,1.722086,0,0,0.96900934,2.6910954,0.0004995511,0.68,0.12,2.454547,0.96900934
2695,-0.18150000000000013,0.8441272,0,0,0.52463925,1.3687664,0.00049955025,0.7,0.14,0.4354903,0.52463925
2700,-0.05460000000000015,1.5272241,0,0,0.96735716,2.4945812,0.00049954944,0.78,0.14,2.508083,0.96735716
2705,0.1144,1.9004633,0,0,0.5910748,2.491538,0.0004995486,0.8,0.2,0.74803674,0.5910748
2710,0.1981999999999999,1.2666532,0,0,0.68471146,1.9513646,0.00049954775,0.78,0.32,0.8556489,0.68471146
2715,0.19559999999999994,0.87784445,0,0,0.99758327,1.8754277,0.00049954694,0.8,0.5,5.8848996,0.99758327
2720,0.23989999999999995,1.4247265,0,0,0.94491684,2.3696432,0.0004995461,0.82,0.66,2.98235,0.94491684
2725,0.28219999999999995,1.3726943,0,0,0.93704414,2.3097384,0.00049954525,0.76,0.82,2.8815799,0.93704414
2730,0.28279999999999994,1.4618251,0,0,0.85677755,2.3186026,0.00049954443,0.72,0.88,2.2417648,0.85677755
2735,0.28419999999999995,1.5860548,0,0,0.75038326,2.3364382,0.0004995436,0.72,0.94,2.2535841,0.75038326
2740,0.2861999999999999,1.6327336,0,0,0.406022,2.0387557,0.00049954274,0.72,0.94,1.4284382,0.406022
2745,-0.009700000000000167,1.427394,0,0,0.652341,2.079735,0.00049954193,0.78,0.94,1.9943074,0.652341
2750,-0.3477,1.5099463,0,0,0.6452029,2.1551492,0.0004995411,0.86,0.84,1.1540502,0.6452029
2755,-0.6433999999999996,1.4244007,0,0,0.9211389,2.3455396,0.00049954024,0.9,0.72,2.1088269,0.9211389
2760,-0.8544999999999995,1.143219,0,0,0.93611836,2.0793374,0.0004995394,0.96,0.6,4.310289,0.93611836
2765,-1.149999999999999,0.6547302,0,0,0.94850016,1.6032304,0.0004995386,0.98,0.42,2.0325732,0.94850016
2770,-1.149999999999999,0.526481,0,0,0.90174,1.428221,0.00049953774,0.94,0.26,2.4901743,0.90174
2775,-1.149999999999999,0.4994284,0,0,0.96701825,1.4664466,0.0004995369,0.94,0.18,1.7436042,0.96701825
2780,-1.149999999999999,0.5188801,0,0,0.9960822,1.5149623,0.0004995361,0.84,0.1,4.2933908,0.9960822
2785,-1.149999999999999,0.83190626,0,0,0.83168566,1.6635919,0.00049953524,0.7,0.02,1.8657005,0.83168566
2790,-1.149999999999999,0.35426712,0,0,0.9797224,1.3339895,0.0004995345,0.58,0.04,2.7889736,0.9797224
2795,-1.149999999999999,0.62609845,0,0,0.9978312,1.6239297,0.0004995336,0.48,0.04,3.9006913,0.9978312
2800,-1.149999999999999,0.32838902,0,0,0.98678434,1.3151734,0.0004995328,0.3,0.04,3.202204,0.98678434
2805,-1.149999999999999,0.33271244,0,0,0.99449444,1.3272069,0.000499532,0.2,0.04,3.0350957,0.99449444
2810,-1.149999999999999,0.38747862,0,0,0.9938216,1.3813002,0.0004995311,0.18,0.04,2.0763,0.9938216
2815,-1.149999999999999,0.21013783,0,0,0.98712444,1.1972623,0.0004995303,0.24,0.02,2.0183074,0.98712444
2820,-1.149999999999999,0.20388111,0,0,0.99915075,1.2030319,0.0004995295,0.28,0.0,5.2520475,0.99915075
2825,-1.149999999999999,0.07680697,0,0,0.9873201,1.0641271,0.0004995286,0.36,0.0,1.7715671,0.9873201
2830,-1.149999999999999,0.13255933,0,0,0.99588346,1.1284428,0.0004995278,0.5,0.0,3.3664706,0.99588346
2835,-1.149999999999999,0.101779535,0,0,0.99673444,1.098514,0.00049952697,0.66,0.0,3.0902708,0.99673444
2840,-1.149999999999999,0.20700413,0,0,0.999583,1.2065871,0.0004995261,0.74,0.0,6.131556,0.999583
2845,-1.149999999999999,0.101318665,0,0,0.9993099,1.1006286,0.0004995253,0.8,0.0,5.483012,0.9993099
2850,-1.149999999999999,0.089324124,0,0,0.98769593,1.07702,0.00049952447,0.86,0.0,2.4244723,0.98769593
2855,-1.149999999999999,0.095963836,0,0,0.9995644,1.0955282,0.0004995236,0.86,0.0,5.792137,0.9995644
2860,-1.149999999999999,0.1317192,0,0,0.99929065,1.1310098,0.0004995228,0.8,0.0,5.1262174,0.99929065
2865,-1.149999999999999,0.20528808,0,0,0.9987283,1.2040163,0.0004995219,0.8,0.0,5.349518,0.9987283
2870,-1.149999999999999,0.12675798,0,0,0.9996898,1.1264478,0.0004995211,0.78,0.02,5.2938704,0.9996898
2875,-1.149999999999999,0.13939634,0,0,0.9846933,1.1240896,0.0004995203,0.76,0.02,2.2711544,0.9846933
2880,-1.149999999999999,0.050519586,0,0,0.99378,1.0442996,0.0004995194,0.78,0.02,2.663226,0.99378
2885,-1.149999999999999,0.05529298,0,0,0.99647385,1.0517669,0.0004995186,0.78,0.04,4.3467646,0.99647385
2890,-1.149999999999999,0.08176379,0,0,0.9978763,1.07964,0.0004995178,0.78,0.04,4.333698,0.9978763
2895,-1.149999999999999,0.12289968,0,0,0.9995222,1.1224219,0.0004995169,0.84,0.02,5.0510726,0.9995222
2900,-1.149999999999999,0.18999952,0,0,0.9981482,1.1881478,0.0004995161,0.86,0.04,4.482141,0.9981482
2905,-1.149999999999999,0.20346169,0,0,0.984563,1.1880246,0.00049951527,0.84,0.04,2.507027,0.984563
2910,-1.149999999999999,0.1061085,0,0,0.9907933,1.0969018,0.0004995144,0.86,0.02,2.4733186,0.9907933
2915,-1.149999999999999,0.11744079,0,0,0.9989603,1.1164011,0.0004995136,0.84,0.02,4.501979,0.9989603
2920,-1.149999999999999,0.12042718,0,0,0.9902823,1.1107094,0.00049951277,0.78,0.02,2.3740819,0.9902823
2925,-1.149999999999999,0.17986594,0,0,0.9729512,1.1528171,0.0004995119,0.76,0.0,1.5490562,0.9729512
2930,-1.149999999999999,0.1558824,0,0,0.99851465,1.154397,0.0004995111,0.78,0.0,4.21146,0.99851465
2935,-1.149999999999999,0.12952365,0,0,0.9993041,1.1288278,0.00049951026,0.76,0.0,5.417606,0.9993041
2940,-1.149999999999999,0.23452803,0,0,0.99757946,1.2321075,0.0004995094,0.72,0.02,4.5373287,0.99757946
2945,-1.149999999999999,0.17181398,0,0,0.99987406,1.1716881,0.0004995086,0.78,0.02,6.4605017,0.99987406
2950,-1.149999999999999,0.15945376,0,0,0.9976866,1.1571404,0.00049950776,0.82,0.02,3.4854777,0.9976866
2955,-1.149999999999999,0.1610507,0,0,0.999239,1.1602898,0.0004995069,0.86,0.02,5.1784754,0.999239
2960,-1.149999999999999,0.1982412,0,0,0.9990751,1.1973163,0.0004995061,0.9,0.02,4.521523,0.9990751
2965,-1.149999999999999,0.123123914,0,0,0.9964863,1.1196102,0.00049950526,0.9,0.0,3.4683814,0.9964863
2970,-1.149999999999999,0.22086915,0,0,0.9997064,1.2205756,0.0004995044,0.86,0.0,2.7807908,0.9997064
2975,-1.149999999999999,0.21959394,0,0,0.99866676,1.2182608,0.0004995036,0.78,0.0,4.165689,0.99866676
2980,-1.149999999999999,0.33727023,0,0,0.9942806,1.3315508,0.00049950276,0.68,0.0,1.8219991,0.9942806
2985,-1.149999999999999,0.15637647,0,0,0.9986433,1.1550198,0.00049950194,0.62,0.0,3.6192062,0.9986433
2990,-1.149999999999999,0.11984091,0,0,0.9993713,1.1192122,0.0004995011,0.64,0.02,2.9071836,0.9993713
2995,-1.149999999999999,0.08815363,0,0,0.9998319,1.0879855,0.00049950025,0.62,0.02,3.82237,0.9998319
