generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,right_up,right_down,kl_diversity,cosine_actions
0,-1.15,1.3940694,0,0,0.21137872,1.6054481,0.00049999985,0.5,0.5,10.705904,0.42275745
5,-0.9820833333333335,1.3554182,0,0,0.47684562,1.8322638,0.00049999903,0.5833333333333334,0.5,10.539677,0.95369124
10,-0.7788636363636366,1.3738515,0,0,0.48964193,1.8634934,0.00049999816,0.6363636363636364,0.5454545454545454,10.562455,0.97928387
15,-0.7664062499999998,1.4401324,0,0,0.4172259,1.8573582,0.00049999735,0.65625,0.53125,8.896635,0.8344518
20,-0.8095238095238092,1.4773684,0,0,0.45499814,1.9323665,0.00049999653,0.6666666666666666,0.4523809523809524,9.213772,0.9099963
25,-0.8225999999999994,1.304065,0,0,0.49042782,1.7944928,0.00049999566,0.66,0.42,10.122288,0.98085564
30,-0.8211999999999994,1.3991785,0,0,0.122604035,1.5217825,0.00049999484,0.66,0.36,7.5698824,0.24520807
35,-0.9441999999999992,1.3834,0,0,0.49664986,1.8800498,0.000499994,0.7,0.28,10.52182,0.9932997
40,-1.026399999999999,1.3356918,0,0,0.0082670525,1.3439589,0.00049999316,0.72,0.22,7.0310755,0.016534105
45,-1.0259999999999991,1.2933819,0,0,0.29921716,1.5925992,0.00049999234,0.72,0.18,8.771529,0.5984343
50,-1.067399999999999,1.4529235,0,0,0.0381601,1.4910836,0.0004999915,0.78,0.24,6.358916,0.0763202
55,-1.109099999999999,1.4091035,0,0,0.42167825,1.8307817,0.00049999065,0.8,0.22,6.6683545,0.8433565
60,-1.109099999999999,1.293094,0,0,0.37491402,1.6680081,0.00049998984,0.76,0.22,6.7159815,0.74982804
65,-1.0680999999999992,1.4353845,0,0,0.39098638,1.826371,0.000499989,0.72,0.26,6.6668553,0.78197277
70,-1.108999999999999,1.3337338,0,0,0.3090425,1.6427763,0.00049998815,0.7,0.3,6.4564734,0.618085
75,-1.068099999999999,1.3943293,0,0,0.012751572,1.4070809,0.00049998733,0.66,0.24,6.748568,0.025503144
80,-0.9854999999999989,1.3306195,0,0,0.46593148,1.796551,0.0004999865,0.68,0.28,7.1118984,0.93186295
85,-0.943199999999999,1.3286058,0,0,0.44015816,1.7687639,0.00049998565,0.66,0.28,5.421715,0.8803163
90,-0.9434999999999992,1.2425888,0,0,0.23225963,1.4748484,0.00049998483,0.72,0.22,5.932681,0.46451926
95,-0.9434999999999992,1.300651,0,0,0.0071072653,1.3077582,0.000499984,0.72,0.24,5.034106,0.014214531
100,-0.9036999999999992,1.3058451,0,0,0.11329574,1.4191409,0.00049998314,0.72,0.26,5.5595675,0.22659148
105,-0.9439999999999992,1.4158335,0,0,0.47491392,1.8907474,0.0004999823,0.68,0.26,7.9986835,0.94982785
110,-0.9461999999999992,1.3638084,0,0,0.40648425,1.7702926,0.0004999815,0.7,0.3,6.598903,0.8129685
115,-0.9467999999999992,1.444509,0,0,0.23102671,1.6755357,0.00049998064,0.64,0.34,5.9130735,0.46205342
120,-0.8645999999999993,1.342167,0,0,0.21965171,1.5618187,0.0004999798,0.66,0.36,6.3665123,0.43930343
125,-0.9045999999999992,1.4524109,0,0,0.37151396,1.8239249,0.000499979,0.62,0.38,7.019816,0.7430279
130,-0.9468999999999991,1.4966557,0,0,0.014056623,1.5107124,0.00049997814,0.62,0.4,5.1854377,0.028113246
135,-0.9869999999999993,1.3939443,0,0,0.43694782,1.8308921,0.0004999773,0.56,0.32,6.012381,0.87389565
140,-1.0270999999999992,1.3528234,0,0,0.028916664,1.3817401,0.0004999765,0.58,0.28,4.1402936,0.05783333
145,-1.109299999999999,1.4546733,0,0,0.20369609,1.6583694,0.00049997563,0.64,0.2,5.1206694,0.40739217
150,-1.108599999999999,1.2177694,0,0,0.12360015,1.3413695,0.0004999748,0.66,0.16,5.7283006,0.2472003
155,-1.108599999999999,0.9934801,0,0,0.3938653,1.3873453,0.000499974,0.72,0.12,2.8731604,0.7877306
160,-1.108599999999999,0.45032284,0,0,0.49726474,0.9475876,0.00049997313,0.8,0.16,0.7505243,0.9945295
165,-1.108599999999999,0.77462757,0,0,0.07775389,0.85238147,0.0004999723,0.8,0.16,0.13119823,0.15550777
170,-1.1085999999999991,1.3393137,0,0,0.22692841,1.5662422,0.0004999715,0.74,0.22,6.8998866,0.45385683
175,-1.109899999999999,1.2708335,0,0,0.117325045,1.3881586,0.0004999706,0.78,0.24,4.386304,0.23465009
180,-1.0278999999999991,1.154429,0,0,0.46812636,1.6225553,0.0004999698,0.76,0.28,3.7746017,0.9362527
185,-1.0278999999999991,1.3951652,0,0,0.47601688,1.8711821,0.00049996894,0.72,0.28,8.128056,0.95203376
190,-1.0278999999999991,0.9935565,0,0,0.0014326498,0.99498916,0.0004999681,0.7,0.34,0.88990253,0.0028652996
195,-0.9877999999999993,1.3042477,0,0,0.053401627,1.3576493,0.0004999673,0.66,0.36,3.6633885,0.10680325
200,-1.0278999999999991,0.6434869,0,0,0.48013312,1.12362,0.00049996644,0.64,0.36,1.4212224,0.96026623
205,-1.0289999999999992,1.1314962,0,0,0.003927402,1.1354235,0.0004999656,0.6,0.36,1.4685642,0.007854804
210,-1.0289999999999992,2.075811,0,0,0.49945968,2.5752707,0.0004999648,0.6,0.32,0.034105882,0.99891937
215,-0.9464999999999993,1.2699028,0,0,0.0062062144,1.276109,0.00049996393,0.66,0.3,3.5199568,0.012412429
220,-0.9447999999999993,1.4747882,0,0,0.447617,1.9224052,0.0004999631,0.74,0.3,7.240385,0.895234
225,-0.9039999999999992,1.2133013,0,0,0.027113885,1.2404152,0.0004999623,0.74,0.24,3.2628713,0.05422777
230,-0.9022999999999992,0.6388474,0,0,0.49019367,1.1290411,0.00049996143,0.74,0.24,1.1499883,0.98038733
235,-0.8604999999999994,1.0831945,0,0,0.49893436,1.5821289,0.0004999606,0.7,0.26,4.501295,0.9978687
240,-0.9429999999999992,0.67175686,0,0,0.4973249,1.1690818,0.0004999598,0.6,0.22,3.3770044,0.9946498
245,-0.9847999999999992,0.81053174,0,0,0.49718314,1.3077149,0.00049995893,0.52,0.14,3.146532,0.9943663
250,-0.9439999999999992,0.48109677,0,0,0.49592668,0.9770235,0.0004999581,0.46,0.18,1.7377504,0.99185336
255,-0.9864999999999992,0.80497324,0,0,0.49776608,1.3027394,0.0004999573,0.4,0.16,0.26288718,0.99553216
260,-0.9879999999999991,0.6614815,0,0,0.48721927,1.1487007,0.0004999564,0.38,0.14,2.6860297,0.97443855
265,-0.8645999999999993,0.7288606,0,0,0.49325442,1.222115,0.0004999556,0.36,0.22,1.7745631,0.98650885
270,-0.7811999999999995,0.68210304,0,0,0.49863517,1.1807382,0.0004999548,0.4,0.28,2.2100465,0.99727035
275,-0.8218999999999994,0.52210414,0,0,0.49750578,1.0196099,0.0004999539,0.48,0.34,1.1212418,0.99501157
280,-0.8619999999999993,0.60401154,0,0,0.48724526,1.0912569,0.0004999531,0.58,0.38,2.7531748,0.9744905
285,-0.9022999999999993,0.21161994,0,0,0.49986124,0.7114812,0.0004999523,0.72,0.44,6.8368955,0.9997225
290,-1.0256999999999992,0.067320034,0,0,0.49969065,0.5670107,0.0004999514,0.8,0.4,4.168666,0.9993813
295,-1.0277999999999992,0.37431586,0,0,0.4975723,0.87188816,0.0004999506,0.78,0.42,3.4867005,0.9951446
300,-1.028399999999999,1.0081248,0,0,0.4997543,1.5078791,0.0004999498,0.8,0.34,5.6080008,0.9995086
305,-1.028399999999999,0.1962962,0,0,0.4999877,0.6962839,0.0004999489,0.7,0.28,4.680376,0.9999754
310,-0.9866999999999991,0.06559232,0,0,0.499601,0.5651933,0.0004999481,0.52,0.24,3.8499901,0.999202
315,-0.9449999999999993,0.5737676,0,0,0.49917966,1.0729473,0.0004999473,0.46,0.22,3.5504313,0.9983593
320,-0.9847999999999992,0.5001407,0,0,0.4990247,0.9991654,0.0004999464,0.42,0.18,2.6546903,0.9980494
325,-0.9835999999999993,0.19241227,0,0,0.49974614,0.6921584,0.0004999456,0.4,0.22,2.9551415,0.9994923
330,-0.8614999999999995,0.29742002,0,0,0.49999446,0.7974145,0.0004999448,0.5,0.26,7.362938,0.9999889
335,-0.9031999999999992,0.34589213,0,0,0.49968725,0.8455794,0.0004999439,0.64,0.32,3.6469529,0.9993745
340,-0.9042999999999992,0.55880964,0,0,0.4997462,1.0585558,0.0004999431,0.76,0.36,3.9402819,0.9994924
345,-0.9047999999999995,0.53292304,0,0,0.4999568,1.0328798,0.0004999423,0.86,0.4,5.462756,0.9999136
350,-0.8642999999999995,0.37506694,0,0,0.49986246,0.8749294,0.0004999414,0.86,0.4,5.0353837,0.9997249
355,-0.9863999999999993,0.28797278,0,0,0.49971503,0.7876878,0.0004999406,0.76,0.36,4.09364,0.99943006
360,-0.9462999999999993,0.31663615,0,0,0.4997154,0.81635153,0.0004999398,0.64,0.3,4.05398,0.9994308
365,-0.9057999999999993,0.4320079,0,0,0.49957138,0.9315793,0.00049993896,0.48,0.26,3.6183774,0.99914277
370,-0.9057999999999993,0.42113864,0,0,0.4997577,0.92089635,0.00049993815,0.42,0.2,3.9328544,0.9995154
375,-0.9462999999999993,0.12570949,0,0,0.49945754,0.625167,0.0004999373,0.4,0.14,2.7979162,0.9989151
380,-0.9462999999999993,0.53156924,0,0,0.49997994,1.0315492,0.00049993646,0.42,0.12,6.600829,0.9999599
385,-0.9863999999999993,0.17931812,0,0,0.49993354,0.6792517,0.00049993565,0.58,0.18,2.6279907,0.9998671
390,-1.0257999999999992,0.31266195,0,0,0.4998188,0.81248075,0.0004999348,0.64,0.2,2.9298687,0.9996376
395,-0.9855999999999991,0.65852916,0,0,0.49984258,1.1583717,0.00049993396,0.58,0.18,4.3117094,0.99968517
400,-0.9867999999999992,0.17374715,0,0,0.49986595,0.6736131,0.00049993314,0.48,0.16,5.007123,0.9997319
405,-0.9056999999999992,0.33783218,0,0,0.4998231,0.8376553,0.00049993227,0.4,0.14,3.4131584,0.9996462
410,-0.9056999999999995,0.28399414,0,0,0.49998698,0.7839811,0.00049993146,0.28,0.12,6.677681,0.99997395
415,-0.9473999999999994,0.24972123,0,0,0.4999258,0.749647,0.00049993064,0.38,0.2,5.2177696,0.9998516
420,-0.9467999999999993,0.48786023,0,0,0.49999636,0.9878566,0.00049992977,0.52,0.32,4.58059,0.9999927
425,-0.9458999999999993,0.14876044,0,0,0.49995413,0.64871454,0.00049992895,0.64,0.38,5.4534893,0.99990827
