generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,right_up,right_down,kl_diversity,cosine_actions
0,-1.15,1.3636479,0,0,0.028304428,1.3919524,0.00049999985,1.0,0.5,9.69048,0.14152214
5,-1.1500000000000001,1.2825766,0,0,0.1695123,1.4520888,0.00049999903,0.6666666666666666,0.4166666666666667,9.938489,0.8475615
10,-1.1499999999999995,1.3777628,0,0,0.13600461,1.5137674,0.00049999816,0.5909090909090909,0.36363636363636365,9.774866,0.6800231
15,-1.1499999999999992,1.388512,0,0,0.1801546,1.5686666,0.00049999735,0.6875,0.34375,9.991732,0.90077305
20,-1.149999999999999,1.4205073,0,0,0.17584315,1.5963504,0.00049999653,0.6190476190476191,0.2857142857142857,9.914099,0.8792157
25,-1.149999999999999,1.4430987,0,0,0.08201151,1.5251101,0.00049999566,0.54,0.22,7.8619323,0.41005757
30,-1.1087999999999991,1.3781691,0,0,0.14292482,1.5210938,0.00049999484,0.6,0.18,8.689659,0.71462405
35,-1.1087999999999991,1.4219743,0,0,0.03167716,1.4536514,0.000499994,0.64,0.16,7.198242,0.1583858
40,-1.068699999999999,1.3574109,0,0,0.1717137,1.5291246,0.00049999316,0.6,0.16,7.9033175,0.8585685
45,-1.0271999999999992,1.3653688,0,0,0.06253936,1.4279082,0.00049999234,0.64,0.16,7.781398,0.31269678
50,-0.9861999999999993,1.4149777,0,0,0.03585973,1.4508374,0.0004999915,0.7,0.24,7.761328,0.17929864
55,-1.0273999999999992,1.4094472,0,0,0.19814645,1.6075937,0.00049999065,0.6,0.24,11.051977,0.99073225
60,-0.9854999999999993,1.3498712,0,0,0.07748478,1.4273559,0.00049998984,0.56,0.24,6.73866,0.38742387
65,-1.0255999999999992,1.4895892,0,0,0.092594825,1.5821841,0.000499989,0.54,0.24,6.788367,0.46297413
70,-1.025399999999999,1.2466795,0,0,0.1868695,1.433549,0.00049998815,0.56,0.32,7.649954,0.9343475
75,-1.0254999999999992,1.5103873,0,0,0.03538629,1.5457736,0.00049998733,0.62,0.3,5.511695,0.17693146
80,-0.9845999999999993,1.3846021,0,0,0.19889359,1.5834956,0.0004999865,0.7,0.3,9.605561,0.994468
85,-0.9851999999999991,1.2644018,0,0,0.18799096,1.4523928,0.00049998565,0.72,0.32,9.49826,0.9399548
90,-0.9039999999999994,1.040914,0,0,0.08543958,1.1263536,0.00049998483,0.68,0.32,2.7872453,0.42719787
95,-0.9456999999999993,0.7793617,0,0,0.10895526,0.888317,0.000499984,0.62,0.26,0.6284251,0.54477626
100,-0.9455999999999993,0.5309218,0,0,0.19860874,0.7295306,0.00049998314,0.54,0.2,0.5075226,0.99304366
105,-0.9447999999999993,0.10882926,0,0,0.1998778,0.30870706,0.0004999823,0.54,0.24,3.729379,0.999389
110,-0.9041999999999993,1.1811514,0,0,0.19981237,1.3809638,0.0004999815,0.56,0.26,0.5700353,0.9990618
115,-0.8617999999999992,0.44577718,0,0,0.1979297,0.64370686,0.00049998064,0.56,0.26,1.9663047,0.98964846
120,-0.7789999999999994,0.38703373,0,0,0.19623224,0.58326596,0.0004999798,0.62,0.26,1.5516847,0.98116124
125,-0.7780999999999995,0.5437683,0,0,0.19994551,0.7437138,0.000499979,0.62,0.3,4.580833,0.99972755
130,-0.8197999999999994,0.40641457,0,0,0.19898902,0.6054036,0.00049997814,0.6,0.32,0.9859454,0.9949451
135,-0.8193999999999995,0.24405527,0,0,0.19985974,0.443915,0.0004999773,0.62,0.32,2.6045535,0.9992987
140,-0.9016999999999993,0.49712616,0,0,0.1999934,0.6971196,0.0004999765,0.66,0.3,5.0027637,0.999967
145,-0.9437999999999992,0.64687926,0,0,0.19995199,0.84683126,0.00049997563,0.68,0.34,6.437241,0.9997599
150,-0.9045999999999994,0.427128,0,0,0.19982748,0.62695545,0.0004999748,0.64,0.38,5.944016,0.99913734
155,-0.8219999999999995,0.5249773,0,0,0.19906497,0.7240423,0.000499974,0.6,0.42,4.165727,0.99532485
160,-0.9042999999999992,0.27505457,0,0,0.19962966,0.47468424,0.00049997313,0.62,0.4,5.0727425,0.9981483
165,-0.9455999999999992,0.074601404,0,0,0.19990018,0.2745016,0.0004999723,0.68,0.38,5.1429067,0.9995009
170,-0.9445999999999992,0.795428,0,0,0.1998893,0.9953173,0.0004999715,0.64,0.4,5.7469893,0.9994465
175,-0.9854999999999992,0.266356,0,0,0.19984587,0.46620184,0.0004999706,0.74,0.4,5.742711,0.9992293
180,-1.0680999999999992,0.3251329,0,0,0.1998685,0.5250014,0.0004999698,0.78,0.34,5.6188936,0.9993425
185,-1.0261999999999991,0.69670206,0,0,0.19995847,0.89666057,0.00049996894,0.64,0.3,6.6296372,0.99979234
190,-0.9436999999999992,0.17166486,0,0,0.19996832,0.37163317,0.0004999681,0.58,0.3,6.3785076,0.99984163
195,-0.9452999999999991,0.32069105,0,0,0.19981432,0.52050537,0.0004999673,0.56,0.24,4.1558905,0.9990716
200,-0.9854999999999993,0.659816,0,0,0.19957395,0.85938996,0.00049996644,0.56,0.2,4.445703,0.99786973
205,-0.9443999999999992,0.5145135,0,0,0.19973083,0.7142443,0.0004999656,0.58,0.18,5.1303887,0.9986541
210,-0.9048999999999994,0.06627483,0,0,0.19986275,0.26613757,0.0004999648,0.72,0.26,5.130067,0.9993137
215,-0.9464999999999992,0.6045019,0,0,0.19990559,0.8044075,0.00049996393,0.76,0.38,4.811283,0.99952793
220,-0.9452999999999991,0.19917084,0,0,0.19998719,0.39915803,0.0004999631,0.84,0.42,6.4402966,0.9999359
225,-0.9046999999999993,0.17682625,0,0,0.19987316,0.37669942,0.0004999623,0.86,0.48,5.7969465,0.9993658
230,-0.9045999999999994,0.66687006,0,0,0.19998173,0.8668518,0.00049996143,0.88,0.54,6.6813793,0.9999087
235,-0.9456999999999993,0.4696372,0,0,0.19990869,0.6695459,0.0004999606,0.76,0.48,6.2206764,0.9995434
240,-0.9452999999999993,0.7864934,0,0,0.19991207,0.9864055,0.0004999598,0.74,0.38,5.1102557,0.99956036
245,-0.9865999999999993,0.5497243,0,0,0.19977419,0.7494985,0.00049995893,0.76,0.42,5.04552,0.99887097
250,-0.9049999999999995,0.3238543,0,0,0.19996761,0.5238219,0.0004999581,0.68,0.38,6.6026716,0.999838
255,-0.9038999999999991,0.041292965,0,0,0.19998646,0.24127942,0.0004999573,0.52,0.28,6.12964,0.9999323
260,-0.9032999999999991,0.33726513,0,0,0.19996454,0.53722966,0.0004999564,0.54,0.28,5.7091293,0.9998227
265,-0.9024999999999993,0.18219674,0,0,0.19990838,0.3821051,0.0004999556,0.54,0.28,4.3244257,0.9995419
270,-0.9024999999999994,0.21658053,0,0,0.1999113,0.4164918,0.0004999548,0.46,0.18,4.5265627,0.9995565
275,-1.0246999999999993,0.21850845,0,0,0.19981672,0.4183252,0.0004999539,0.48,0.16,4.273584,0.9990836
280,-1.0264999999999993,0.36504763,0,0,0.1997133,0.5647609,0.0004999531,0.52,0.16,4.6604047,0.9985665
285,-1.067399999999999,0.39839837,0,0,0.19993125,0.5983296,0.0004999523,0.54,0.16,4.8719797,0.9996562
290,-1.109499999999999,0.07917959,0,0,0.19995499,0.27913457,0.0004999514,0.5,0.2,6.2103066,0.99977493
295,-1.0689999999999993,0.16765904,0,0,0.1998579,0.36751693,0.0004999506,0.5,0.26,4.990393,0.9992895
300,-1.0689999999999993,1.2079864,0,0,0.19989322,1.4078796,0.0004999498,0.5,0.28,5.352452,0.99946606
305,-1.109499999999999,0.53180766,0,0,0.19994675,0.7317544,0.0004999489,0.56,0.3,3.502023,0.9997337
310,-1.0683999999999991,0.29963553,0,0,0.19993441,0.49956995,0.0004999481,0.62,0.38,3.7967339,0.99967206
315,-0.9879999999999992,0.4367075,0,0,0.19999366,0.63670117,0.0004999473,0.7,0.42,6.587336,0.99996823
320,-1.028499999999999,0.7400589,0,0,0.19999547,0.94005436,0.0004999464,0.64,0.38,2.154361,0.99997735
325,-1.0284999999999993,0.7152213,0,0,0.19999793,0.9152192,0.0004999456,0.62,0.34,3.6321237,0.9999896
330,-0.9870999999999992,0.46622872,0,0,0.19999759,0.6662263,0.0004999448,0.68,0.4,5.5305753,0.99998796
335,-0.9064999999999993,0.2837314,0,0,0.19999723,0.48372865,0.0004999439,0.7,0.38,2.3606265,0.9999862
340,-0.9464999999999992,0.7177555,0,0,0.19998625,0.9177418,0.0004999431,0.7,0.34,2.2913043,0.9999312
345,-0.8231999999999994,0.52925414,0,0,0.19998054,0.7292347,0.0004999423,0.78,0.4,3.647156,0.9999027
350,-0.8231999999999995,0.96727467,0,0,0.1999968,1.1672715,0.0004999414,0.8,0.44,3.9751875,0.99998397
355,-0.8234999999999993,0.24250962,0,0,0.19998614,0.44249576,0.0004999406,0.72,0.38,1.99261,0.99993074
360,-0.9030999999999993,0.68670225,0,0,0.19997966,0.8866819,0.0004999398,0.58,0.32,2.8047497,0.9998983
365,-0.9028999999999993,0.5383014,0,0,0.19999821,0.7382996,0.00049993896,0.46,0.26,6.306906,0.99999106
370,-0.9857999999999991,0.6675279,0,0,0.19998547,0.8675134,0.00049993815,0.34,0.16,4.680888,0.99992734
375,-0.8634999999999994,0.41802093,0,0,0.19998513,0.61800605,0.0004999373,0.28,0.12,3.9739742,0.9999256
380,-0.8226999999999994,0.4222474,0,0,0.19998363,0.622231,0.00049993646,0.32,0.18,3.7043712,0.9999181
385,-0.8647999999999993,0.69042385,0,0,0.19999616,0.89042,0.00049993565,0.48,0.26,3.2268672,0.99998075
390,-0.7844999999999993,0.4031591,0,0,0.19999115,0.60315025,0.0004999348,0.54,0.34,4.9603763,0.9999557
395,-0.8248999999999995,0.3161383,0,0,0.1999304,0.5160687,0.00049993396,0.56,0.36,3.2295113,0.99965197
400,-0.7818999999999994,0.7581046,0,0,0.19996814,0.9580728,0.00049993314,0.56,0.38,3.627755,0.99984074
405,-0.8637999999999993,0.7931342,0,0,0.19995797,0.9930922,0.00049993227,0.44,0.28,4.3397465,0.99978983
410,-0.8224999999999993,0.7145156,0,0,0.19996975,0.9144854,0.00049993146,0.32,0.18,5.7086625,0.9998488
415,-0.9433999999999994,0.44607335,0,0,0.19997345,0.6460468,0.00049993064,0.4,0.16,4.010149,0.9998672
420,-0.9017999999999994,0.67198795,0,0,0.199971,0.871959,0.00049992977,0.5,0.22,4.6714363,0.99985504
425,-1.0269999999999992,0.5762383,0,0,0.19985516,0.7760934,0.00049992895,0.62,0.24,4.1597543,0.9992758
430,-0.9439999999999992,0.2339747,0,0,0.19997117,0.43394586,0.00049992814,0.78,0.32,4.531364,0.9998558
435,-0.9031999999999992,0.13810082,0,0,0.19998193,0.33808273,0.00049992726,0.82,0.36,4.1766405,0.99990964
440,-0.9031999999999993,0.6892327,0,0,0.19998477,0.8892175,0.00049992645,0.66,0.3,3.997075,0.9999238
445,-0.8626999999999994,0.22913432,0,0,0.19993696,0.42907128,0.00049992563,0.54,0.22,3.2427511,0.99968475
450,-0.8622999999999995,0.3598941,0,0,0.19999936,0.5598935,0.00049992476,0.38,0.2,6.6606946,0.9999968
455,-0.8619999999999994,0.81918764,0,0,0.1999918,1.0191795,0.00049992395,0.22,0.14,4.994453,0.999959
460,-0.9440999999999993,0.41634327,0,0,0.19999672,0.61634,0.00049992313,0.14,0.1,5.7738934,0.9999836
465,-0.7815999999999993,0.4034629,0,0,0.19995557,0.60341847,0.00049992226,0.14,0.1,3.9142118,0.9997778
470,-0.7820999999999995,0.43459517,0,0,0.19999899,0.63459414,0.00049992144,0.28,0.2,6.085877,0.99999493
475,-0.7389999999999993,0.32581374,0,0,0.19999734,0.5258111,0.0004999206,0.42,0.3,7.1432214,0.99998665
480,-0.7400999999999995,0.6961735,0,0,0.19998868,0.89616215,0.00049991976,0.5,0.34,5.389983,0.9999434
485,-0.7400999999999995,0.7024859,0,0,0.19999924,0.90248513,0.00049991894,0.62,0.4,6.982662,0.9999962
490,-0.9025999999999993,0.4502818,0,0,0.19999683,0.6502786,0.0004999181,0.68,0.38,5.0244455,0.99998415
495,-0.9841999999999993,0.54446226,0,0,0.19998224,0.7444445,0.00049991725,0.6,0.28,4.1885176,0.9999112
500,-1.0677999999999992,0.24237344,0,0,0.19999634,0.44236976,0.00049991644,0.5,0.14,3.757491,0.99998164
505,-1.109499999999999,0.27913913,0,0,0.19999886,0.479138,0.0004999156,0.44,0.08,5.577935,0.9999943
510,-1.109499999999999,0.22199085,0,0,0.19999449,0.42198533,0.00049991475,0.28,0.04,4.5472383,0.99997246
515,-1.109499999999999,0.07934716,0,0,0.19999932,0.27934647,0.00049991393,0.26,0.14,5.499546,0.99999654
520,-1.109499999999999,0.1831059,0,0,0.19999512,0.38310102,0.00049991306,0.38,0.28,5.85152,0.99997556
525,-1.1094999999999993,0.077104226,0,0,0.19999467,0.2770989,0.00049991225,0.5,0.34,6.0859294,0.9999733
530,-1.149999999999999,0.2029939,0,0,0.19999826,0.40299216,0.00049991143,0.58,0.34,6.8374505,0.9999913
535,-1.149999999999999,0.050557517,0,0,0.19999072,0.25054824,0.00049991056,0.76,0.3,4.046335,0.99995357
540,-1.149999999999999,0.120996155,0,0,0.19999743,0.32099357,0.00049990974,0.68,0.2,6.539804,0.9999871
545,-1.109899999999999,0.026585247,0,0,0.19999838,0.22658363,0.0004999089,0.56,0.08,6.9298863,0.9999919
550,-1.109899999999999,0.075681366,0,0,0.19999424,0.2756756,0.00049990806,0.58,0.12,5.1555014,0.99997115
555,-1.0280999999999991,0.3069929,0,0,0.19999717,0.5069901,0.00049990724,0.6,0.2,6.146239,0.9999858
560,-0.9468999999999991,0.18705875,0,0,0.19999793,0.38705668,0.0004999064,0.46,0.22,6.4146547,0.9999896
565,-0.9045999999999991,0.462348,0,0,0.19999586,0.66234386,0.00049990555,0.5,0.28,4.961953,0.99997926
570,-0.8626999999999992,0.8164125,0,0,0.1999994,1.0164119,0.00049990474,0.5,0.3,3.896355,0.999997
575,-0.7809999999999994,0.5558623,0,0,0.19999938,0.7558617,0.0004999039,0.34,0.24,7.0705304,0.9999969
580,-0.7376999999999996,0.27288398,0,0,0.19999894,0.47288293,0.00049990305,0.26,0.2,5.7878165,0.9999947
585,-0.7773999999999995,0.7011429,0,0,0.19999668,0.9011396,0.00049990223,0.24,0.18,6.756832,0.9999834
590,-0.8196999999999994,0.53679425,0,0,0.19999412,0.7367884,0.0004999014,0.2,0.12,6.3216434,0.99997056
595,-0.8188999999999994,0.46425754,0,0,0.1999963,0.66425383,0.00049990055,0.22,0.14,6.414946,0.99998146
600,-0.8593999999999994,0.7583965,0,0,0.19999741,0.95839393,0.00049989973,0.38,0.2,7.036482,0.999987
605,-0.9844999999999993,0.5834244,0,0,0.19999154,0.7834159,0.0004998989,0.5,0.24,4.963091,0.9999577
610,-0.9836999999999992,0.1612511,0,0,0.19998024,0.36123133,0.00049989804,0.66,0.34,5.069183,0.9999012
615,-0.9415999999999992,0.1953837,0,0,0.19998191,0.3953656,0.0004998972,0.78,0.4,5.245034,0.9999095
620,-0.9832999999999993,0.2594628,0,0,0.19998993,0.45945275,0.0004998964,0.72,0.36,3.0210762,0.99994963
625,-1.024499999999999,0.14020558,0,0,0.19999133,0.3401969,0.00049989554,0.52,0.26,2.8293455,0.9999566
630,-1.024499999999999,0.09412564,0,0,0.19999795,0.2941236,0.0004998947,0.42,0.2,4.425559,0.99998975
635,-1.0259999999999991,0.38228494,0,0,0.1999923,0.58227724,0.0004998939,0.42,0.14,3.892344,0.9999615
640,-1.0680999999999992,0.26721066,0,0,0.19999559,0.46720624,0.00049989304,0.5,0.14,3.6220007,0.99997795
645,-1.0273999999999992,0.31103975,0,0,0.19999401,0.5110338,0.0004998922,0.66,0.22,6.057901,0.9999701
650,-1.0273999999999992,0.1473712,0,0,0.19999991,0.3473711,0.0004998914,0.86,0.3,6.9465923,0.9999995
655,-1.0273999999999992,0.42331904,0,0,0.19998972,0.6233088,0.00049989054,0.98,0.4,6.076084,0.99994856
660,-1.0681999999999992,0.23305592,0,0,0.19999515,0.43305105,0.0004998897,0.96,0.4,6.439103,0.9999757
665,-1.0681999999999992,0.17039205,0,0,0.19999957,0.3703916,0.0004998889,0.86,0.34,3.509107,0.99999785
670,-1.149999999999999,0.07806296,0,0,0.19999897,0.27806193,0.00049988803,0.72,0.24,7.8326554,0.9999949
675,-1.149999999999999,0.16663305,0,0,0.19999938,0.36663243,0.0004998872,0.58,0.16,7.3331394,0.9999969
