generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-0.31000000000000005,0.19095065,0.002154357,-0.13862765,0.0,0.9765956,2.4999968e-05,0.0,0.0,0.0,0.0
5,-0.19333333333333336,0.14328834,7.632913e-08,-0.1386284,0.0,0.7317589,2.4999812e-05,0.0,0.0,0.0,0.0
10,-0.3736363636363636,0.1933654,0.002138931,-0.1386271,0.0,0.98830533,2.4999656e-05,0.0,0.0,0.0,0.0
15,-0.3725,0.2344408,0.00433088,-0.13862753,0.0,1.1350715,2.49995e-05,0.0,0.0625,0.0,0.0
20,-0.390952380952381,0.23263374,0.0027403925,-0.13862622,0.0,1.1668864,2.4999343e-05,0.0,0.047619047619047616,0.0,0.0
25,-0.3830769230769232,0.23770885,0.004207417,-0.13862021,0.0,1.1794118,2.4999186e-05,0.0,0.038461538461538464,0.0,0.0
30,-0.3712903225806452,0.23036537,0.0030864016,-0.13862701,0.0,1.0301998,2.499903e-05,0.03225806451612903,0.06451612903225806,0.0,0.0
35,-0.34611111111111115,0.14710192,9.061865e-05,-0.13862525,0.0,0.73272485,2.4998873e-05,0.027777777777777776,0.05555555555555555,0.0,0.0
40,-0.33439024390243904,0.14731687,7.656725e-05,-0.13862346,0.0,0.7329726,2.4998717e-05,0.024390243902439025,0.07317073170731707,0.0,0.0
45,-0.3360869565217392,0.14747709,0.00016757121,-0.13862044,0.0,0.96007156,2.499856e-05,0.021739130434782608,0.06521739130434782,0.0,0.0
50,-0.33800000000000013,0.1886991,0.0011022146,-0.13861822,0.0,0.99639213,2.4998404e-05,0.02,0.06,0.0,0.0
55,-0.37999999999999984,0.23048665,0.0016452122,-0.13858068,0.0,1.0716457,2.4998248e-05,0.02,0.06,0.0,0.0
60,-0.34000000000000014,0.14718963,0.00025913588,-0.13853745,0.0,0.757346,2.4998091e-05,0.02,0.08,0.0,0.0
65,-0.3800000000000001,0.19017428,0.0011132851,-0.13820687,0.0,1.0040423,2.4997935e-05,0.04,0.06,0.0,0.0
70,-0.35400000000000015,0.12937436,0.00026070356,-0.13606861,0.0,0.8386011,2.4997778e-05,0.08,0.06,0.0,0.0
75,-0.332,0.107997656,0.00028968137,-0.09959462,0.0,0.5389966,2.4997622e-05,0.08,0.1,0.0,0.0
80,-0.24140000000000003,0.0782132,0.00015138718,-0.06947196,0.0,0.38722637,2.4997466e-05,0.08,0.12,0.0,0.0
85,-0.14260000000000006,-0.88526136,0.4572723,-0.071049996,0.0,-1.6928918,2.4997309e-05,0.1,0.18,0.0,0.0
90,-0.05800000000000001,-0.9097321,0.4482629,-0.06906721,0.0,-1.7181548,2.4997153e-05,0.1,0.24,0.0,0.0
95,0.03660000000000003,-0.8863554,0.41221333,-0.06945295,0.0,-2.2182496,2.4996994e-05,0.14,0.26,0.0,0.0
100,0.15140000000000003,-0.88663334,0.37651938,-0.06487175,0.0,-2.2689583,2.4996838e-05,0.22,0.26,0.0,0.0
105,0.3104,-0.9794374,0.4508225,-0.06847102,0.0,-2.2511067,2.4996682e-05,0.28,0.3,0.0,0.0
110,0.389,0.07079354,0.0011058359,-0.060324557,0.0,0.3609521,2.4996525e-05,0.36,0.28,0.0,0.0
115,0.5458,-0.7958364,0.41554627,-0.05968191,0.0,-2.2975292,2.4996369e-05,0.42,0.3,0.0,0.0
120,0.6446,-0.87038916,0.34466898,-0.067553975,0.0,-2.7135444,2.4996212e-05,0.46,0.3,0.0,0.0
125,0.7373999999999999,-0.9235785,0.18749732,-0.06931517,0.0,-3.4005795,2.4996056e-05,0.48,0.32,0.0,0.0
130,0.7575999999999999,-0.87951803,0.13343263,-0.0699531,0.0,-3.4947002,2.49959e-05,0.46,0.36,0.0,0.0
135,0.7575999999999999,0.09624916,0.31380323,-0.06994533,0.0,2.1391253,2.4995743e-05,0.46,0.36,0.0,0.0
140,0.7979999999999999,-0.8240323,0.0023019803,-0.052864548,0.0,-3.9574044,2.4995587e-05,0.46,0.38,0.0,0.0
145,0.7979999999999999,0.045818433,0.38497174,-0.028025215,0.0,2.2535808,2.499543e-05,0.42,0.44,0.0,0.0
150,0.7172000000000002,0.056389883,0.04971508,-0.0424251,0.0,0.5712711,2.4995274e-05,0.34,0.52,0.0,0.0
155,0.6565999999999999,0.05076158,0.035292216,-0.04005762,0.0,0.47470596,2.4995117e-05,0.28,0.54,0.0,0.0
160,0.5959999999999995,0.058481913,0.039704066,-0.04061538,0.0,0.500379,2.499496e-05,0.2,0.6,0.0,0.0
165,0.5353999999999994,0.046872947,0.027841123,-0.03737818,0.0,0.40774047,2.4994804e-05,0.12,0.6,0.0,0.0
170,0.4545999999999992,0.014795755,0.025368165,-0.011392752,0.0,0.28271395,2.4994648e-05,0.04,0.6,0.0,0.0
175,0.3737999999999994,0.013324125,0.020249374,-0.0022884833,0.0,0.19603923,2.4994491e-05,0.02,0.54,0.0,0.0
180,0.29300000000000015,0.020023696,0.014133608,-0.008769337,0.0,0.19376266,2.4994335e-05,0.02,0.46,0.0,0.0
185,0.21220000000000017,0.0056521064,0.014269122,-0.0012935344,0.0,0.14876358,2.4994179e-05,0.0,0.4,0.0,0.0
190,0.11120000000000019,0.014085057,0.012471637,-0.0011503274,0.0,0.1387241,2.4994022e-05,0.0,0.3,0.0,0.0
195,0.05060000000000013,0.0062777316,0.012497999,-0.00023590597,0.0,0.1359747,2.4993866e-05,0.0,0.22,0.0,0.0
200,0.05060000000000016,0.01506534,0.00845778,-0.00353216,0.0,0.12573262,2.4993711e-05,0.0,0.14,0.0,0.0
205,0.010199999999999992,0.014330765,0.009629516,-0.00019561285,0.0,0.11988041,2.4993555e-05,0.0,0.08,0.0,0.0
210,0.010199999999999992,0.009466574,0.0080071,-7.180622e-06,0.0,0.106840916,2.4993398e-05,0.0,0.02,0.0,0.0
215,-0.010000000000000004,0.015180175,0.0044783996,-0.0036256083,0.0,0.10078621,2.4993242e-05,0.0,0.0,0.0,0.0
220,-0.010000000000000004,0.07952511,0.010090485,-0.00042037928,0.0,0.16950966,2.4993085e-05,0.0,0.0,0.0,0.0
225,-0.010000000000000004,0.008197383,0.004368145,-0.000461806,0.0,0.08332193,2.4992929e-05,0.0,0.0,0.0,0.0
230,-0.010000000000000004,0.04728016,0.0034985677,-0.0005356094,0.0,0.1048121,2.4992773e-05,0.0,0.0,0.0,0.0
235,-0.010000000000000004,0.010087911,0.0037984191,-0.00017199687,0.0,0.07941189,2.4992616e-05,0.0,0.0,0.0,0.0
240,-0.010000000000000004,0.009705744,0.0047895405,-1.8014342e-05,0.0,0.085709244,2.499246e-05,0.0,0.0,0.0,0.0
245,-0.010000000000000004,0.009890839,0.0037192162,-2.7310016e-06,0.0,0.07825825,2.4992303e-05,0.0,0.0,0.0,0.0
250,-0.010000000000000004,0.010515943,0.0031534485,-0.002916251,0.0,0.083784625,2.4992147e-05,0.0,0.0,0.0,0.0
255,-0.010000000000000004,0.009022678,0.0043843547,-0.00076099223,0.0,0.08579089,2.499199e-05,0.0,0.0,0.0,0.0
260,-0.010000000000000004,0.010402992,0.004697043,-0.0005072562,0.0,0.08816062,2.4991834e-05,0.0,0.0,0.0,0.0
265,-0.010000000000000004,0.011642312,0.002325389,-0.0017066982,0.0,0.076358326,2.4991677e-05,0.0,0.0,0.0,0.0
270,-0.010000000000000004,0.009562829,0.0025913878,-0.00041375184,0.0,0.0717461,2.4991521e-05,0.0,0.0,0.0,0.0
275,-0.010000000000000004,0.009247654,0.0013530217,-3.5674268e-05,0.0,0.059341818,2.4991365e-05,0.0,0.0,0.0,0.0
280,-0.010000000000000004,0.009162493,0.00211884,-3.1202726e-05,0.0,0.06551293,2.4991208e-05,0.0,0.0,0.0,0.0
285,-0.010000000000000004,0.009608456,0.0022196826,-1.9479587e-05,0.0,0.06622553,2.4991052e-05,0.0,0.0,0.0,0.0
290,-0.010000000000000004,0.009942165,0.0013224962,-5.105484e-05,0.0,0.059181742,2.4990895e-05,0.0,0.0,0.0,0.0
295,-0.010000000000000004,0.009057573,0.001549507,-5.997424e-05,0.0,0.06086403,2.4990739e-05,0.0,0.0,0.0,0.0
300,-0.010000000000000004,0.010097047,0.0025379579,-1.6808868e-05,0.0,0.06813606,2.4990582e-05,0.0,0.0,0.0,0.0
305,-0.010000000000000004,0.0069757323,0.0012618887,-5.3817792e-05,0.0,0.056821838,2.4990426e-05,0.0,0.0,0.0,0.0
310,-0.010000000000000004,0.010945175,0.0017992195,-0.000394186,0.0,0.06490336,2.499027e-05,0.0,0.0,0.0,0.0
315,-0.010000000000000004,0.009282252,0.0007819327,-5.7528978e-05,0.0,0.05376667,2.4990113e-05,0.0,0.0,0.0,0.0
320,-0.010000000000000004,0.009412972,0.0008389219,-2.8029468e-05,0.0,0.0545,2.4989957e-05,0.0,0.0,0.0,0.0
325,-0.010000000000000004,0.007434977,0.0010557444,-1.9503546e-05,0.0,0.055432756,2.49898e-05,0.0,0.0,0.0,0.0
330,-0.010000000000000004,0.024827154,0.0007421977,-1.1532949e-05,0.0,0.064158395,2.4989644e-05,0.0,0.0,0.0,0.0
335,-0.010000000000000004,0.009519234,0.00071424816,-1.6653302e-06,0.0,0.052819252,2.4989487e-05,0.0,0.0,0.0,0.0
340,-0.010000000000000004,0.0092044445,0.0006610873,-2.1199062e-06,0.0,0.052309297,2.4989331e-05,0.0,0.0,0.0,0.0
345,-0.010000000000000004,0.0096689565,0.0005497941,-5.563714e-05,0.0,0.051497348,2.4989175e-05,0.0,0.0,0.0,0.0
350,-0.010000000000000004,0.008599044,0.0009864727,-1.5528221e-05,0.0,0.055270478,2.4989018e-05,0.0,0.0,0.0,0.0
355,-0.010000000000000004,0.024875937,0.0007857388,-0.0002857075,0.0,0.06569632,2.4988862e-05,0.0,0.0,0.0,0.0
360,-0.010000000000000004,0.010226186,0.00051597424,-4.965671e-05,0.0,0.052137267,2.4988705e-05,0.0,0.0,0.0,0.0
365,-0.010000000000000004,0.008474553,0.00029166232,-8.159629e-05,0.0,0.04815067,2.4988549e-05,0.0,0.0,0.0,0.0
370,-0.010000000000000004,0.008975597,0.00063856295,-5.110664e-07,0.0,0.052053824,2.4988392e-05,0.0,0.0,0.0,0.0
375,-0.010000000000000004,0.00842961,0.0005192498,-9.666686e-06,0.0,0.05047136,2.4988236e-05,0.0,0.0,0.0,0.0
380,-0.010000000000000004,0.0077559836,0.0007251506,-0.00026949437,0.0,0.05351125,2.498808e-05,0.0,0.0,0.0,0.0
385,-0.010000000000000004,0.008959661,0.0003678485,-5.0912985e-07,0.0,0.04888974,2.4987923e-05,0.0,0.0,0.0,0.0
390,-0.010000000000000004,0.009891613,0.00051309424,-9.786091e-05,0.0,0.051429585,2.4987767e-05,0.0,0.0,0.0,0.0
395,-0.010000000000000004,0.008737437,0.0003735278,-9.909661e-07,0.0,0.04891738,2.498761e-05,0.0,0.0,0.0,0.0
400,-0.010000000000000004,0.020056069,0.00046047632,-3.9066217e-05,0.0,0.058137447,2.4987454e-05,0.0,0.0,0.0,0.0
405,-0.010000000000000004,0.009230229,0.00034423434,-6.2575828e-06,0.0,0.04908438,2.4987297e-05,0.0,0.0,0.0,0.0
410,-0.010000000000000004,0.009343703,0.00012291696,-7.119156e-08,0.0,0.045904286,2.4987141e-05,0.0,0.0,0.0,0.0
415,-0.010000000000000004,0.008992577,0.0001781921,-6.4216714e-05,0.0,0.046771877,2.4986984e-05,0.0,0.0,0.0,0.0
420,-0.010000000000000004,0.018988991,0.00039563695,-2.7562155e-06,0.0,0.05627241,2.4986828e-05,0.0,0.0,0.0,0.0
425,-0.010000000000000004,0.008703266,0.00017703361,-3.0460766e-05,0.0,0.04641822,2.4986672e-05,0.0,0.0,0.0,0.0
430,-0.010000000000000004,0.008901967,0.00040696457,-1.4450248e-05,0.0,0.049572315,2.4986515e-05,0.0,0.0,0.0,0.0
435,-0.010000000000000004,0.009403436,0.00021652004,-1.6678243e-07,0.0,0.047435425,2.4986359e-05,0.0,0.0,0.0,0.0
440,-0.010000000000000004,0.0084495,6.784989e-05,-6.5201006e-05,0.0,0.044632424,2.4986204e-05,0.0,0.0,0.0,0.0
445,-0.010000000000000004,0.009801928,8.4069485e-05,-1.694054e-05,0.0,0.04534585,2.4986048e-05,0.0,0.0,0.0,0.0
450,-0.010000000000000004,0.009218814,8.1121516e-07,-2.1064113e-06,0.0,0.04192494,2.4985891e-05,0.0,0.0,0.0,0.0
455,-0.010000000000000004,0.010158189,0.00026963017,-0.0003215975,0.0,0.049845148,2.4985735e-05,0.0,0.0,0.0,0.0
460,-0.010000000000000004,0.0091504315,3.953272e-05,-3.7905156e-07,0.0,0.043819062,2.4985578e-05,0.0,0.0,0.0,0.0
465,-0.010000000000000004,0.00858404,2.5870973e-05,-9.362321e-06,0.0,0.040576115,2.4985422e-05,0.0,0.0,0.0,0.0
470,-0.010000000000000004,0.008250933,5.8634156e-05,-3.5124156e-06,0.0,0.04391747,2.4985266e-05,0.0,0.0,0.0,0.0
475,-0.010000000000000004,0.008997606,5.380254e-06,-4.05661e-07,0.0,0.042612005,2.498511e-05,0.0,0.0,0.0,0.0
480,-0.010000000000000004,0.008162206,1.1665617e-05,-1.4394412e-05,0.0,0.04068443,2.4984953e-05,0.0,0.0,0.0,0.0
485,-0.010000000000000004,0.0081613865,2.2593691e-05,-7.432249e-06,0.0,0.040343195,2.4984796e-05,0.0,0.0,0.0,0.0
490,-0.010000000000000004,0.008019816,8.50102e-06,-4.4638244e-05,0.0,0.04085613,2.498464e-05,0.0,0.0,0.0,0.0
495,-0.010000000000000004,0.009097911,6.59541e-05,-2.7924829e-05,0.0,0.044688433,2.4984483e-05,0.0,0.0,0.0,0.0
500,-0.010000000000000004,0.008005406,2.2153537e-05,-7.772501e-09,0.0,0.040241964,2.4984327e-05,0.0,0.0,0.0,0.0
